IDS_PROPSKILL_TXT_000000	重击
IDS_PROPSKILL_TXT_000001	见习生前段技能，将力量集中后，瞬间爆发出威力的单手武器技能
IDS_PROPSKILL_TXT_000002	连击
IDS_PROPSKILL_TXT_000003	见习生中段技能，快速连续突刺敌人的单手武器技能
IDS_PROPSKILL_TXT_000004	爆击
IDS_PROPSKILL_TXT_000005	见习生后段技能，使用聚集的力量将敌人击飞，并让敌人受到强大伤害的单手武器技能
IDS_PROPSKILL_TXT_000006	月牙斩
IDS_PROPSKILL_TXT_000007	勇者前段技能，将身体弯曲并集气后，利用反弹力连续挥出二连刀的单手剑与斧头的技能
IDS_PROPSKILL_TXT_000008	旋风斩
IDS_PROPSKILL_TXT_000009	勇者中段技能，急速旋转身体并在空中施展回旋斩来攻击目标的单手剑技能
IDS_PROPSKILL_TXT_000010	爆炎剑气
IDS_PROPSKILL_TXT_000011	勇者后段技能，集中攻击敌人的弱点并将他击击飞的单手剑技能
IDS_PROPSKILL_TXT_000012	防御术
IDS_PROPSKILL_TXT_000013	使用盾来提升自己的防御力
IDS_PROPSKILL_TXT_000014	霸体
IDS_PROPSKILL_TXT_000015	使用盾来提高对远距离攻击的回避率
IDS_PROPSKILL_TXT_000016	狂暴刃
IDS_PROPSKILL_TXT_000017	让剑瞬间变的非常锐利
IDS_PROPSKILL_TXT_000018	狂战斧
IDS_PROPSKILL_TXT_000019	加重斧头伤害值，并提高防御力
IDS_PROPSKILL_TXT_000020	属性之光
IDS_PROPSKILL_TXT_000021	让武器原本拥有的属性攻击力增加
IDS_PROPSKILL_TXT_000022	血之赞颂
IDS_PROPSKILL_TXT_000023	吸收对方的HP来维持自己的生命
IDS_PROPSKILL_TXT_000024	剑之研习
IDS_PROPSKILL_TXT_000025	提升剑的熟练度，可让剑发动的攻击力增加的被动技能.
IDS_PROPSKILL_TXT_000026	斧之研习
IDS_PROPSKILL_TXT_000027	提升斧头的熟练度，可让斧头发动的攻击力增加的被动技能
IDS_PROPSKILL_TXT_000028	冲刺
IDS_PROPSKILL_TXT_000029	集气后，快速往前冲刺敌人
IDS_PROPSKILL_TXT_000030	灵剑气
IDS_PROPSKILL_TXT_000031	集气后，发射剑气
IDS_PROPSKILL_TXT_000032	勇者之网
IDS_PROPSKILL_TXT_000033	集勇者之气化为一个坚固的网子套住敌人，使敌人无法移动。
IDS_PROPSKILL_TXT_000034	反击
IDS_PROPSKILL_TXT_000035	将怪物给予的伤害还击回去，使敌人受到更大的伤害
