ids_language_code	CNS
ids_ui_home_title	主页
ids_ui_home_newchar	新角色
ids_ui_home_login	登录
ids_ui_home_website	官方页面
ids_ui_home_credits	制作人员
ids_ui_home_server	服务器:
ids_ui_login_charlogin	角色登入 :
ids_ui_login_password	账户密码 :
ids_ui_login_lost	忘记密码?
ids_ui_newchar_name	名称 :
ids_ui_newchar_girl	女
ids_ui_newchar_boy	男
ids_ui_newchar_create	开始
ids_ui_msgbox_ok	Ok
ids_ui_msgbox_cancel	取消
ids_ui_msgbox_yes	是
ids_ui_msgbox_no	否
ids_ui_loadingscreen	载入中...
ids_ui_option_title	设定
ids_ui_option_music 音乐大小
ids_ui_option_sound	音效大小
ids_ui_option_texquality	材质质量
ids_ui_option_texhigh	高
ids_ui_option_texmid	中
ids_ui_option_texlow	低
ids_ui_option_weather	天气效果
ids_ui_option_language	语言
ids_ui_option_save	储存
ids_ui_navigator_player	玩家
ids_ui_navigator_npc	NPC
ids_ui_navigator_monster	怪物
ids_ui_privacy_notice	隐私声明
ids_ui_msgbox_accept	接受
ids_ui_msgbox_decline	拒绝
ids_ui_option_keyboard	键盘布局
ids_ui_msgbox_close	关闭
ids_ui_option_shadows	阴影质量
ids_ui_option_fullscreen	全屏
ids_ui_motion_tab_mot	动作
ids_ui_motion_tab_emo	表情
ids_ui_revival_title	复活
ids_ui_revival_lodestar	复活到生命之泉
ids_ui_charinfo_base	基础
ids_ui_charinfo_name	名称
ids_ui_charinfo_login	登入
ids_ui_charinfo_job	职业
ids_ui_charinfo_level	等级
ids_ui_charinfo_server	服务器
ids_ui_charinfo_detail	详细
ids_ui_charinfo_atk	攻击
ids_ui_charinfo_critical	暴击
ids_ui_charinfo_def	防御
ids_ui_charinfo_aspeed	攻速
ids_ui_charinfo_str	力量
ids_ui_charinfo_sta	体力
ids_ui_charinfo_dex	敏捷
ids_ui_charinfo_int	智力
ids_ui_charinfo_statpoints	技能点数
ids_ui_charinfo_apply	套用
ids_ui_charinfo_reset	重置
ids_ui_charinfo_changestate	修改技能点数
ids_ui_charinfo_apply_tooltip	套用新的点数设定
ids_ui_charinfo_reset_tooltip	还原原有点数设定
ids_ui_charinfo_plusminus_tooltip	修改技能点数后请单击套用
ids_ui_charinfo_str_tooltip	增加武器攻击力 (#cffb40000Except for wand#nc)
ids_ui_charinfo_sta_tooltip	增加防御，HP FP上限增加 \nHP, FP 回复速率增加
ids_ui_charinfo_dex_tooltip	攻击速度上升\n闪避率, 格挡率 增加\n增加暴击率\n#cffb40000提升弓的攻击力#nc
ids_ui_charinfo_int_tooltip	大量提升MP上线\n魔法伤害增加
ids_ui_charinfo_gp_tooltip	修改技能点数后请单击套用
ids_ui_tooltip_sex_male	性别: 男
ids_ui_tooltip_sex_female	性别: 女
ids_ui_tooltip_onehand	单手武器
ids_ui_tooltip_twohand	双手武器
ids_ui_tooltip_attack	攻击：
