IDS_PROPITEM_TXT_000000	一般
IDS_PROPITEM_TXT_000001	
IDS_PROPITEM_TXT_000002	空手
IDS_PROPITEM_TXT_000003	
IDS_PROPITEM_TXT_000004	金幣
IDS_PROPITEM_TXT_000005	
IDS_PROPITEM_TXT_000006	金幣
IDS_PROPITEM_TXT_000007	
IDS_PROPITEM_TXT_000008	金幣
IDS_PROPITEM_TXT_000009	
IDS_PROPITEM_TXT_000010	金幣
IDS_PROPITEM_TXT_000011	
IDS_PROPITEM_TXT_000012	懸賞金袋子
IDS_PROPITEM_TXT_000013	
IDS_PROPITEM_TXT_000014	見習生木劍
IDS_PROPITEM_TXT_000015	
IDS_PROPITEM_TXT_000016	木劍
IDS_PROPITEM_TXT_000017	
IDS_PROPITEM_TXT_000018	羅馬劍
IDS_PROPITEM_TXT_000019	
IDS_PROPITEM_TXT_000020	長劍
IDS_PROPITEM_TXT_000021	
IDS_PROPITEM_TXT_000022	手刃劍
IDS_PROPITEM_TXT_000023	
IDS_PROPITEM_TXT_000024	手刃細劍
IDS_PROPITEM_TXT_000025	
IDS_PROPITEM_TXT_000026	利普長劍
IDS_PROPITEM_TXT_000027	
IDS_PROPITEM_TXT_000028	破滅長劍
IDS_PROPITEM_TXT_000029	
IDS_PROPITEM_TXT_000030	珮諾長劍
IDS_PROPITEM_TXT_000031	
IDS_PROPITEM_TXT_000032	柯林斯長劍
IDS_PROPITEM_TXT_000033	
IDS_PROPITEM_TXT_000034	花公子長劍
IDS_PROPITEM_TXT_000035	
IDS_PROPITEM_TXT_000036	貝塔長劍
IDS_PROPITEM_TXT_000037	
IDS_PROPITEM_TXT_000038	十字星長劍
IDS_PROPITEM_TXT_000039	
IDS_PROPITEM_TXT_000040	布林克長劍
IDS_PROPITEM_TXT_000041	
IDS_PROPITEM_TXT_000042	索羅崗長劍
IDS_PROPITEM_TXT_000043	
IDS_PROPITEM_TXT_000044	奧西頓長劍
IDS_PROPITEM_TXT_000045	
IDS_PROPITEM_TXT_000046	珮爾光劍
IDS_PROPITEM_TXT_000047	
IDS_PROPITEM_TXT_000048	珮爾細劍
IDS_PROPITEM_TXT_000049	
IDS_PROPITEM_TXT_000050	淘特長劍
IDS_PROPITEM_TXT_000051	
IDS_PROPITEM_TXT_000052	凱立長劍
IDS_PROPITEM_TXT_000053	
IDS_PROPITEM_TXT_000054	奧柏長劍
IDS_PROPITEM_TXT_000055	
IDS_PROPITEM_TXT_000056	塔歐長劍
IDS_PROPITEM_TXT_000057	
IDS_PROPITEM_TXT_000058	紫瑩長劍
IDS_PROPITEM_TXT_000059	
IDS_PROPITEM_TXT_000060	賽波長劍
IDS_PROPITEM_TXT_000061	
IDS_PROPITEM_TXT_000062	漢希爾長劍
IDS_PROPITEM_TXT_000063	
IDS_PROPITEM_TXT_000064	斯魯德長劍
IDS_PROPITEM_TXT_000065	
IDS_PROPITEM_TXT_000066	卡米特長劍
IDS_PROPITEM_TXT_000067	
IDS_PROPITEM_TXT_000068	因貝德長劍
IDS_PROPITEM_TXT_000069	
IDS_PROPITEM_TXT_000070	普立可長劍
IDS_PROPITEM_TXT_000071	
IDS_PROPITEM_TXT_000072	史替奇長劍
IDS_PROPITEM_TXT_000073	
IDS_PROPITEM_TXT_000074	逤普之劍
IDS_PROPITEM_TXT_000075	
IDS_PROPITEM_TXT_000076	魔替之劍
IDS_PROPITEM_TXT_000077	
IDS_PROPITEM_TXT_000078	大馬士劍
IDS_PROPITEM_TXT_000079	
IDS_PROPITEM_TXT_000080	龐克伶劍
IDS_PROPITEM_TXT_000081	
IDS_PROPITEM_TXT_000082	賽比長劍
IDS_PROPITEM_TXT_000083	
IDS_PROPITEM_TXT_000084	尼薩長劍
IDS_PROPITEM_TXT_000085	
IDS_PROPITEM_TXT_000086	奈可長劍
IDS_PROPITEM_TXT_000087	
IDS_PROPITEM_TXT_000088	左諾特長劍
IDS_PROPITEM_TXT_000089	
IDS_PROPITEM_TXT_000090	藍光之劍
IDS_PROPITEM_TXT_000091	
IDS_PROPITEM_TXT_000092	藍影之劍
IDS_PROPITEM_TXT_000093	
IDS_PROPITEM_TXT_000094	莎因長劍
IDS_PROPITEM_TXT_000095	
IDS_PROPITEM_TXT_000096	潔洛斯長劍
IDS_PROPITEM_TXT_000097	
IDS_PROPITEM_TXT_000098	碧德長劍
IDS_PROPITEM_TXT_000099	
IDS_PROPITEM_TXT_000100	艾魔翎長劍
IDS_PROPITEM_TXT_000101	
IDS_PROPITEM_TXT_000102	卡特長劍
IDS_PROPITEM_TXT_000103	
