IDS_PROPSKILL_TXT_000000	重擊
IDS_PROPSKILL_TXT_000001	見習生前段技能，將力量集中後，瞬間爆發出威力的單手武器技能
IDS_PROPSKILL_TXT_000002	連擊
IDS_PROPSKILL_TXT_000003	見習生中段技能，快速連續突刺敵人的單手武器技能
IDS_PROPSKILL_TXT_000004	爆擊
IDS_PROPSKILL_TXT_000005	見習生後段技能，使用聚集的力量將敵人擊飛，並讓敵人受到強大傷害的單手武器技能
IDS_PROPSKILL_TXT_000006	月牙斬
IDS_PROPSKILL_TXT_000007	勇者前段技能，將身體彎曲並集氣後，利用反彈力連續揮出二連刀的單手劍與斧頭的技能
IDS_PROPSKILL_TXT_000008	旋風斬
IDS_PROPSKILL_TXT_000009	勇者中段技能，急速旋轉身體並在空中施展迴旋斬來攻擊目標的單手劍技能
IDS_PROPSKILL_TXT_000010	爆炎劍氣
IDS_PROPSKILL_TXT_000011	勇者後段技能，集中攻擊敵人的弱點並將他擊擊飛的單手劍技能
IDS_PROPSKILL_TXT_000012	防禦術
IDS_PROPSKILL_TXT_000013	使用盾來提升自己的防禦力
IDS_PROPSKILL_TXT_000014	霸體
IDS_PROPSKILL_TXT_000015	使用盾來提高對遠距離攻擊的迴避率
IDS_PROPSKILL_TXT_000016	狂暴刃
IDS_PROPSKILL_TXT_000017	讓劍瞬間變的非常銳利
IDS_PROPSKILL_TXT_000018	狂戰斧
IDS_PROPSKILL_TXT_000019	加重斧頭傷害值，並提高防禦力
IDS_PROPSKILL_TXT_000020	屬性之光
IDS_PROPSKILL_TXT_000021	讓武器原本擁有的屬性攻擊力增加
IDS_PROPSKILL_TXT_000022	血之讚頌
IDS_PROPSKILL_TXT_000023	吸收對方的HP來維持自己的生命
IDS_PROPSKILL_TXT_000024	劍之研習
IDS_PROPSKILL_TXT_000025	提升劍的熟練度，可讓劍發動的攻擊力增加的被動技能.
IDS_PROPSKILL_TXT_000026	斧之研習
IDS_PROPSKILL_TXT_000027	提升斧頭的熟練度，可讓斧頭發動的攻擊力增加的被動技能
IDS_PROPSKILL_TXT_000028	衝刺
IDS_PROPSKILL_TXT_000029	集氣後，快速往前衝刺敵人
IDS_PROPSKILL_TXT_000030	靈劍氣
IDS_PROPSKILL_TXT_000031	集氣後，發射劍氣
IDS_PROPSKILL_TXT_000032	勇者之網
IDS_PROPSKILL_TXT_000033	集勇者之氣化為一個堅固的網子套住敵人，使敵人無法移動。
IDS_PROPSKILL_TXT_000034	反擊
IDS_PROPSKILL_TXT_000035	將怪物給予的傷害還擊回去，使敵人受到更大的傷害
IDS_PROPSKILL_TXT_000036	護衛
IDS_PROPSKILL_TXT_000037	降低攻擊力來提高防禦力
IDS_PROPSKILL_TXT_000038	血債血償
IDS_PROPSKILL_TXT_000039	將所受到的傷害，還擊回去
IDS_PROPSKILL_TXT_000040	怒氣
IDS_PROPSKILL_TXT_000041	限定時間內，讓防禦力及命中率降低,但大幅提升攻擊力與HP(包含最大值)
IDS_PROPSKILL_TXT_000042	橫風斬
IDS_PROPSKILL_TXT_000043	用武器進行平掃攻擊，並震退敵人
IDS_PROPSKILL_TXT_000044	大地爆碎劍
IDS_PROPSKILL_TXT_000045	用強大的力量將劍重重的劈在敵人的身上，使敵人受到重大的傷害
IDS_PROPSKILL_TXT_000046	死風狂擊
IDS_PROPSKILL_TXT_000047	將劍放在前方快速衝刺後，再進行拋擊
IDS_PROPSKILL_TXT_000048	致命一擊
IDS_PROPSKILL_TXT_000049	讓敵人受到重大傷害並引發大量的出血，使敵人在一定機率之下，降低防禦力
IDS_PROPSKILL_TXT_000050	大地共鳴
IDS_PROPSKILL_TXT_000051	使用雙手斧大力的揮砍地面，攻擊周圍所有敵人，有機率將敵人震退
IDS_PROPSKILL_TXT_000052	稻妻二刀斬
IDS_PROPSKILL_TXT_000053	交替著武器，並製造出強大的傷害
IDS_PROPSKILL_TXT_000054	爆碎點刺
IDS_PROPSKILL_TXT_000055	成功時，力量足以摧毀敵人盔甲的，使敵人的防具受到50%的損壞，並減弱防禦力
IDS_PROPSKILL_TXT_000056	光速突刺
IDS_PROPSKILL_TXT_000057	用光速貫通敵人身體，並讓敵人受到嚴重傷害
IDS_PROPSKILL_TXT_000058	暗殺者之舞
IDS_PROPSKILL_TXT_000059	將雙刀展開並對周圍的敵人進行攻擊
IDS_PROPSKILL_TXT_000060	千光刃
IDS_PROPSKILL_TXT_000061	衝刺的同時進行快速的連發攻擊，最後所顯示的傷害值為累加的總傷害值
IDS_PROPSKILL_TXT_000062	鬼斧斬
IDS_PROPSKILL_TXT_000063	面向敵人跳起來後，使用雙斧用力砍敵人，使敵人受到強大的傷害及暗黑效果
IDS_PROPSKILL_TXT_000064	滅
IDS_PROPSKILL_TXT_000065	暗殺者最強技能！將所有的氣集中在武器後，用盡全力攻擊敵人
IDS_PROPSKILL_TXT_000066	速度集中
IDS_PROPSKILL_TXT_000067	限制時間內，犧牲所有其他可使用的技能來提高攻擊速度(其他技能暫時無法使用)
IDS_PROPSKILL_TXT_000068	治癒術
IDS_PROPSKILL_TXT_000069	立即恢復HP
IDS_PROPSKILL_TXT_000070	神拳術
IDS_PROPSKILL_TXT_000071	將所有精神集中在力量，用力揮出去的拳套技能
IDS_PROPSKILL_TXT_000072	復活術
IDS_PROPSKILL_TXT_000073	將死亡的對象復活
IDS_PROPSKILL_TXT_000074	生命的祝福
IDS_PROPSKILL_TXT_000075	在技能的有效時限內提高對方的HP上限
IDS_PROPSKILL_TXT_000076	千鈞一髮
IDS_PROPSKILL_TXT_000077	受到面臨死亡的攻擊時，立刻恢復所損的HP以避免死亡
IDS_PROPSKILL_TXT_000078	強化術
IDS_PROPSKILL_TXT_000079	提高對方的體力
IDS_PROPSKILL_TXT_000080	敏捷術
IDS_PROPSKILL_TXT_000081	提高對方的敏捷
IDS_PROPSKILL_TXT_000082	集體治癒術
IDS_PROPSKILL_TXT_000083	恢復施展者四周限定範圍內的團員HP
IDS_PROPSKILL_TXT_000084	心靈點滴
IDS_PROPSKILL_TXT_000085	提高對方的智力
IDS_PROPSKILL_TXT_000086	祝福的神力
IDS_PROPSKILL_TXT_000087	接受精靈的祝福使手臂充滿了力量(提升力量).
IDS_PROPSKILL_TXT_000088	爆震術
IDS_PROPSKILL_TXT_000089	使用拳套用力敲打地面，使自己附近的敵人受到傷害
IDS_PROPSKILL_TXT_000090	石拳重擊
IDS_PROPSKILL_TXT_000091	藉助精靈的力量，找出敵人的弱點攻擊並以一定的機率擊暈
IDS_PROPSKILL_TXT_000092	風精之舞
