ids_language_code	CNT
ids_ui_home_title	主頁
ids_ui_home_newchar	新角色
ids_ui_home_login	登錄
ids_ui_home_website	官方頁面
ids_ui_home_credits	Credits
ids_ui_home_server	服務器:
ids_ui_login_charlogin	角色登入 :
ids_ui_login_password	賬戶密碼 :
ids_ui_login_lost	忘記密碼?
ids_ui_newchar_name	名稱 :
ids_ui_newchar_girl	女
ids_ui_newchar_boy	男
ids_ui_newchar_create	開始
ids_ui_msgbox_ok	Ok
ids_ui_msgbox_cancel	取消
ids_ui_msgbox_yes	Yes
ids_ui_msgbox_no	No
ids_ui_loadingscreen	載入中...
ids_ui_option_title	設定
ids_ui_option_music 音樂大小
ids_ui_option_sound	音效大小
ids_ui_option_texquality	材質質量
ids_ui_option_texhigh	高
ids_ui_option_texmid	中
ids_ui_option_texlow	低
ids_ui_option_weather	天氣效果
ids_ui_option_language	語言
ids_ui_option_save	儲存
ids_ui_navigator_player	玩家
ids_ui_navigator_npc	NPC
ids_ui_navigator_monster	怪物
ids_ui_privacy_notice	隱私聲明
ids_ui_msgbox_accept	接受
ids_ui_msgbox_decline	拒絕
ids_ui_option_keyboard	鍵盤佈局
ids_ui_msgbox_close	關閉
ids_ui_option_shadows	陰影質量
ids_ui_option_fullscreen	全屏
ids_ui_motion_tab_mot	動作
ids_ui_motion_tab_emo	表情
ids_ui_revival_title	復活
ids_ui_revival_lodestar	復活到生命之泉
ids_ui_charinfo_base	基礎
ids_ui_charinfo_name	名稱
ids_ui_charinfo_login	登入
ids_ui_charinfo_job	職業
ids_ui_charinfo_level	等級
ids_ui_charinfo_server	服務器
ids_ui_charinfo_detail	詳細
ids_ui_charinfo_atk	攻擊
ids_ui_charinfo_critical	暴擊
ids_ui_charinfo_def	防禦
ids_ui_charinfo_aspeed	攻速
ids_ui_charinfo_str	力量
ids_ui_charinfo_sta	體力
ids_ui_charinfo_dex	敏捷
ids_ui_charinfo_int	智力
ids_ui_charinfo_statpoints	技能點數
ids_ui_charinfo_apply	套用
ids_ui_charinfo_reset	重置
ids_ui_charinfo_changestate	修改技能點數
ids_ui_charinfo_apply_tooltip	套用新的點數設定
ids_ui_charinfo_reset_tooltip	還原原有點數設定
ids_ui_charinfo_plusminus_tooltip	修改技能點數后請單擊套用
ids_ui_charinfo_str_tooltip	增加武器攻擊力 (#cffb40000Except for wand#nc)
ids_ui_charinfo_sta_tooltip	增加防禦，HP FP上限增加 \nHP, FP 回復速率增加
ids_ui_charinfo_dex_tooltip	攻擊速度上升\n閃避率, 格擋率 增加\n增加暴擊率\n#cffb40000提升弓的攻擊力#nc
ids_ui_charinfo_int_tooltip	大量提升MP上綫\n魔法傷害增加
ids_ui_charinfo_gp_tooltip	修改技能點數后請單擊套用
ids_ui_tooltip_sex_male	性別: 男
ids_ui_tooltip_sex_female	性別: 女
ids_ui_tooltip_onehand	單手武器
ids_ui_tooltip_twohand	雙手武器
ids_ui_tooltip_attack	攻擊：
ids_ui_tooltip_def_a	防禦
ids_ui_tooltip_def_b	防禦
ids_ui_tooltip_attack_speed	攻擊速率: %s
ids_ui_tooltip_req_job	職業需求:
ids_ui_tooltip_req_level	等級需求 : %d
ids_ui_tooltip_restore_mp	回復 MP: %d
ids_ui_tooltip_restore_hp	回復 HP: %d
ids_ui_tooltip_restore_fp	回復 FP: %d
ids_ui_tooltip_max_restore	效率增加到 %d
ids_ui_tooltip_inv_suit 套裝
ids_ui_tooltip_inv_gauntlet	手套
ids_ui_tooltip_inv_boots	靴子
ids_ui_tooltip_inv_helmet	頭盔
ids_ui_tooltip_inv_clo	披風
ids_ui_tooltip_inv_weapon	武器
ids_ui_tooltip_inv_guard	盾牌
ids_ui_tooltip_inv_mask	面具
ids_ui_tooltip_inv_rid	Flying 滑板
ids_ui_tooltip_inv_necklace	項鏈
ids_ui_tooltip_inv_ring	戒指
ids_ui_tooltip_inv_earring	耳環
ids_ui_tooltip_inv_bullet	輔助武器(箭矢, 飛鏢)
ids_ui_tooltip_inv_clothes_1	流行帽子
ids_ui_tooltip_inv_clothes_2	流行服裝
ids_ui_tooltip_inv_clothes_3	流行手套
ids_ui_tooltip_inv_clothes_4	流行鞋子
ids_ui_inventory_1_bag	#b1#nb 背包
ids_ui_inventory_n_bags	#b%d#nb 背包
ids_ui_iventory_bag_n	背包%d
ids_ui_tooltip_mon_lvl	Lv.
ids_ui_tooltip_mon_drop	Booty:
ids_ui_tooltip_mon_no_drop	無
ids_ui_map_moninfo	顯示怪物信息
ids_ui_tooltip_delete_item	掉落此處的物品消失了
ids_ui_inventory_delete	已掉落
ids_ui_inventory_delete_confirm	確定要刪除該物品？
ids_ui_inventory_delete_cnt	數目
ids_ui_dialog	對話
ids_ui_dialog_title	閑聊
ids_ui_dialog_about	詢問 %s
ids_ui_option_tab_game	游戲 / 音頻
ids_ui_option_tab_video	視頻
ids_ui_option_pm	開啓 密語 & 消息
ids_ui_instantmsg_title	消息
ids_ui_message_send	發送
ids_ui_shop_title	商店
ids_ui_shop_itemslist	物品清單
ids_ui_tooltip_price	價格: %s
ids_ui_tooltip_sellprice	售價 : %s
ids_ui_shop_filter	搜索
ids_ui_shop_level	按等級
ids_ui_shop_gender	按性別
ids_ui_shop_itemprice	售價
ids_ui_sellitem_title	已售出
ids_ui_sellitem_confirm	確定要出售該物品？
ids_ui_sellitem_qty	數目
ids_ui_sellitem_price	售價：
ids_ui_msgbox_valid	Ok
ids_ui_buyitem_title	已購買
ids_ui_buyitem_confirm	確認要購買嗎？
ids_ui_buyitem_price	花費
ids_ui_option_grass	Grass (Beta)
ids_ui_option_showlogin	Players login
ids_ui_tooltip_max_hp	Max. HP
ids_ui_tooltip_max_mp	Max. MP
ids_ui_tooltip_max_fp	Max. FP
ids_ui_tooltip_speed	Speed
ids_ui_tooltip_atkspeed	Attack Speed
ids_ui_tooltip_blockmelee	Melee Block
ids_ui_tooltip_hitrate	Hit
ids_ui_display_buffs	Show/hide buffs
ids_ui_selectjob_title	Select new job
