IDS_PROPCTRL_TXT_000000	Kleine Schatztruhe
IDS_PROPCTRL_TXT_000001	
IDS_PROPCTRL_TXT_000002	Kleine Schatztruhe(Vertikal)
IDS_PROPCTRL_TXT_000003	
IDS_PROPCTRL_TXT_000004	Dungeon Hebel
IDS_PROPCTRL_TXT_000005	
IDS_PROPCTRL_TXT_000006	Dungeon Tor
IDS_PROPCTRL_TXT_000007	
IDS_PROPCTRL_TXT_000008	Keakoon Gefängnis
IDS_PROPCTRL_TXT_000009	
IDS_PROPCTRL_TXT_000010	Kimeradon Gefängnis
IDS_PROPCTRL_TXT_000011	
IDS_PROPCTRL_TXT_000012	Meteonyker Gefängnis
IDS_PROPCTRL_TXT_000013	
IDS_PROPCTRL_TXT_000014	Pinky Roach Egg
IDS_PROPCTRL_TXT_000015	
IDS_PROPCTRL_TXT_000016	Blue Roach Egg
IDS_PROPCTRL_TXT_000017	
IDS_PROPCTRL_TXT_000018	Pinky Roach Egg
IDS_PROPCTRL_TXT_000019	
IDS_PROPCTRL_TXT_000020	Blue Roach Egg
IDS_PROPCTRL_TXT_000021	
IDS_PROPCTRL_TXT_000022	Blue Roach Egg
IDS_PROPCTRL_TXT_000023	
IDS_PROPCTRL_TXT_000024	Blue Roach Egg
IDS_PROPCTRL_TXT_000025	
IDS_PROPCTRL_TXT_000026	Blue Roach Egg
IDS_PROPCTRL_TXT_000027	
IDS_PROPCTRL_TXT_000028	Warp Maschine
IDS_PROPCTRL_TXT_000029	
IDS_PROPCTRL_TXT_000030	Warp Board1
IDS_PROPCTRL_TXT_000031	
IDS_PROPCTRL_TXT_000032	Warp Board2
IDS_PROPCTRL_TXT_000033	
IDS_PROPCTRL_TXT_000034	Warp Board3
IDS_PROPCTRL_TXT_000035	
IDS_PROPCTRL_TXT_000036	Exp Box
IDS_PROPCTRL_TXT_000037	
IDS_PROPCTRL_TXT_000038	Gelbes Einzelbett
IDS_PROPCTRL_TXT_000039	
IDS_PROPCTRL_TXT_000040	Gelbes Regal
IDS_PROPCTRL_TXT_000041	
IDS_PROPCTRL_TXT_000042	Gelbe Kommode
IDS_PROPCTRL_TXT_000043	
IDS_PROPCTRL_TXT_000044	Gelbe Sitzbank
IDS_PROPCTRL_TXT_000045	
IDS_PROPCTRL_TXT_000046	Gelber Tisch
IDS_PROPCTRL_TXT_000047	
IDS_PROPCTRL_TXT_000048	Gelber Schrank
IDS_PROPCTRL_TXT_000049	
IDS_PROPCTRL_TXT_000050	Blaues Einzelbett
IDS_PROPCTRL_TXT_000051	
IDS_PROPCTRL_TXT_000052	Blaues Regal
IDS_PROPCTRL_TXT_000053	
IDS_PROPCTRL_TXT_000054	Blaue Kommode
IDS_PROPCTRL_TXT_000055	
IDS_PROPCTRL_TXT_000056	Blaue Sitzbank
IDS_PROPCTRL_TXT_000057	
IDS_PROPCTRL_TXT_000058	Blauer Tisch
IDS_PROPCTRL_TXT_000059	
IDS_PROPCTRL_TXT_000060	Blauer Schrank
IDS_PROPCTRL_TXT_000061	
IDS_PROPCTRL_TXT_000062	Rotes Einzelbett
IDS_PROPCTRL_TXT_000063	
IDS_PROPCTRL_TXT_000064	Rotes Regal
IDS_PROPCTRL_TXT_000065	
IDS_PROPCTRL_TXT_000066	Rote Kommode
IDS_PROPCTRL_TXT_000067	
IDS_PROPCTRL_TXT_000068	Rote Sitzbank
IDS_PROPCTRL_TXT_000069	
IDS_PROPCTRL_TXT_000070	Roter Tisch
IDS_PROPCTRL_TXT_000071	
IDS_PROPCTRL_TXT_000072	Roter Schrank
IDS_PROPCTRL_TXT_000073	
IDS_PROPCTRL_TXT_000074	Modernes Einzelbett
IDS_PROPCTRL_TXT_000075	
IDS_PROPCTRL_TXT_000076	Modernes Regal
IDS_PROPCTRL_TXT_000077	
IDS_PROPCTRL_TXT_000078	Moderne Kommode mit Spiegel
IDS_PROPCTRL_TXT_000079	
IDS_PROPCTRL_TXT_000080	Modernes Sofa
IDS_PROPCTRL_TXT_000081	
