IDS_PROPSKILL_TXT_000000	Clean Hit
IDS_PROPSKILL_TXT_000001	Benutze diesen Skill, um mit einem mächtigen Schwerthieb Schaden zu verursachen.
IDS_PROPSKILL_TXT_000002	Brandish
IDS_PROPSKILL_TXT_000003	Ein Rundumhieb, um den Feind schnell mehrfach mit dem Schwert zu durchlöchern.
IDS_PROPSKILL_TXT_000004	Over Cutter
IDS_PROPSKILL_TXT_000005	Ein Abschluss Skill, um einen starken Schlag nach vorne auszuführen.
IDS_PROPSKILL_TXT_000006	Splash
IDS_PROPSKILL_TXT_000007	Ein Skill, um den Feind 2x mit konzentrierter Energie zu schlagen.
IDS_PROPSKILL_TXT_000008	Keenwheel
IDS_PROPSKILL_TXT_000009	Ein Kreiselskill, um den Feind mehrmals schnell hintereinander zu treffen. 
IDS_PROPSKILL_TXT_000010	Blindside
IDS_PROPSKILL_TXT_000011	Ein Abschluss Skill, um den Feind mit deiner ganzen Kraft zu schlagen.
IDS_PROPSKILL_TXT_000012	Protection
IDS_PROPSKILL_TXT_000013	Erhöht die Verteidigung, in dem man dem Schild etwas seiner Kraft leiht.
IDS_PROPSKILL_TXT_000014	Pan Barrier
IDS_PROPSKILL_TXT_000015	Erhöht die Widerstandskraft gegenüber Fernattacken beim Benutzen eines Schildes.
IDS_PROPSKILL_TXT_000016	Blazing Sword
IDS_PROPSKILL_TXT_000017	Erhöht die Angriffsstärke und die Treffsicherheit deines Schwertes.
IDS_PROPSKILL_TXT_000018	Smite Axe
IDS_PROPSKILL_TXT_000019	Erhöht die Angriffstärke und die Verteidigungsstärke deiner Axt.
IDS_PROPSKILL_TXT_000020	Empower Weapon
IDS_PROPSKILL_TXT_000021	Zur vorübergehenden Verstärkung der Fähigkeiten und der Attribute der Waffen.
IDS_PROPSKILL_TXT_000022	Bloody Strike
IDS_PROPSKILL_TXT_000023	Entzieht dem Gegner HP und füllt die eigenen HP auf.
IDS_PROPSKILL_TXT_000024	Sword Mastery
IDS_PROPSKILL_TXT_000025	Zur Erhöhung der Angriffsstärke bei Erhebung der Schwertfähigkeiten.
IDS_PROPSKILL_TXT_000026	Axe Mastery
IDS_PROPSKILL_TXT_000027	Zur Erhöhung der Angriffsstärke bei Erhebung der Axtfähigkeiten.
IDS_PROPSKILL_TXT_000028	Special Hit
IDS_PROPSKILL_TXT_000029	Den Gegner mit gesamtem Körpereinsatz schlagen.
IDS_PROPSKILL_TXT_000030	Guillotine
IDS_PROPSKILL_TXT_000031	Ein Hieb gegen den Gegner mit der Waffe, geladen mit Geisteskraft. 
IDS_PROPSKILL_TXT_000032	Sneaker
IDS_PROPSKILL_TXT_000033	Ein Netz wird ausgeworfen, um den Gegner zu verlangsamen.
IDS_PROPSKILL_TXT_000034	Reflex Hit
IDS_PROPSKILL_TXT_000035	Ein Hieb gegen den Gegner, der den Schaden des Angreifers reflektiert.
IDS_PROPSKILL_TXT_000036	Guard
IDS_PROPSKILL_TXT_000037	Erhöht die Verteidigung bei Senkung der Angriffsstärke.
IDS_PROPSKILL_TXT_000038	Pain Reflection
IDS_PROPSKILL_TXT_000039	Reflektiert einen Teil des Schadens, welcher dir vom Gegner zufügt wird.
IDS_PROPSKILL_TXT_000040	Rage
IDS_PROPSKILL_TXT_000041	Erhöht die Angriffsstärke und HP durch die Konzentration auf den Angriff. Verteidigung und Treffsicherheit werden gesenkt.
IDS_PROPSKILL_TXT_000042	Powerswing
IDS_PROPSKILL_TXT_000043	Ein Hieb gegen den Gegner, indem man mit der Waffe weit ausholt.
IDS_PROPSKILL_TXT_000044	Earth Divider
IDS_PROPSKILL_TXT_000045	Ein Hieb gegen Gegner durch einen absoluten Hieb des Schwertes.
IDS_PROPSKILL_TXT_000046	Charge
IDS_PROPSKILL_TXT_000047	Ein Hieb gegen den Gegner durch das Schwingen des Schwertes in Himmelsrichtung.
IDS_PROPSKILL_TXT_000048	Pain Dealer
IDS_PROPSKILL_TXT_000049	Verringert die gegnerische Verteidigung kurzzeitig beim Angriff, wenn man eine Axt verwendet.
IDS_PROPSKILL_TXT_000050	Power Stump
IDS_PROPSKILL_TXT_000051	Wirft den Gegner zu Boden, indem man mit der Axt auf die Erde schlägt. Chance, den Gegner zu betäuben.
IDS_PROPSKILL_TXT_000052	Cross Strike
IDS_PROPSKILL_TXT_000053	Den Gegner mit zwei Einhandwaffen angreifen.
IDS_PROPSKILL_TXT_000054	Armor Penetrate
IDS_PROPSKILL_TXT_000055	Verwirren des Gegners. Die Verteidigung des Gegners wird geschwächt.
IDS_PROPSKILL_TXT_000056	Silent Strike
IDS_PROPSKILL_TXT_000057	Ein sehr schneller Hieb gegen den Gegner.
IDS_PROPSKILL_TXT_000058	Blade Dance
IDS_PROPSKILL_TXT_000059	Durch kurzes Tanzen ausgelöster Schlag in einen gegnerischen Bereich.
IDS_PROPSKILL_TXT_000060	Spring Attack
IDS_PROPSKILL_TXT_000061	Einen Hieb gegen den Gegner durch wiederholendes Schwingen der Axt.
IDS_PROPSKILL_TXT_000062	Hawk Attack
IDS_PROPSKILL_TXT_000063	Einen Hieb gegen den Gegner nach einem Sprung. Der Gegner kann im Zustand der Verdunklung sein.
IDS_PROPSKILL_TXT_000064	Sonic Blade
IDS_PROPSKILL_TXT_000065	Ein Hieb gegen den Gegner mit der Waffe, geladen mit Geisteskraft.
IDS_PROPSKILL_TXT_000066	Berserk
IDS_PROPSKILL_TXT_000067	Erhöht die Angriffsstärke und das Angriffstempo indem man zornig wird.
IDS_PROPSKILL_TXT_000068	Heal
IDS_PROPSKILL_TXT_000069	Die HP eines Spielers wiederherstellen.
IDS_PROPSKILL_TXT_000070	Tamping Hole
IDS_PROPSKILL_TXT_000071	Einen Hieb gegen den Gegner mit dem Knuckel ausführen.
IDS_PROPSKILL_TXT_000072	Resurrection
IDS_PROPSKILL_TXT_000073	Einen toten Charakter mit heiliger Energie wiederbeleben.
