IDS_PROPSKILL_TXT_000000	Clean Hit
IDS_PROPSKILL_TXT_000001	A powerful, downward strike.
IDS_PROPSKILL_TXT_000002	Flurry
IDS_PROPSKILL_TXT_000003	Rapid, stabbing attack.
IDS_PROPSKILL_TXT_000004	Over Cut
IDS_PROPSKILL_TXT_000005	Powerful, upward, finishing move.
IDS_PROPSKILL_TXT_000006	Slash
IDS_PROPSKILL_TXT_000007	Strikes the enemy two times, in rapid succession.
IDS_PROPSKILL_TXT_000008	Keenwheel
IDS_PROPSKILL_TXT_000009	A continuous spinning attack.
IDS_PROPSKILL_TXT_000010	Blindside
IDS_PROPSKILL_TXT_000011	A spinning, finishing move.
IDS_PROPSKILL_TXT_000012	Protection
IDS_PROPSKILL_TXT_000013	Increases the defense of a Shield against melee attacks.
IDS_PROPSKILL_TXT_000014	Pan Barrier
IDS_PROPSKILL_TXT_000015	Increases the defense of a shield against ranged attacks.
IDS_PROPSKILL_TXT_000016	Blazing Sword
IDS_PROPSKILL_TXT_000017	Increases the accuracy and striking power of a sword.
IDS_PROPSKILL_TXT_000018	Smite Axe
IDS_PROPSKILL_TXT_000019	Increases your Defense Rate and Striking Power of an axe.
IDS_PROPSKILL_TXT_000020	Empower Weapon
IDS_PROPSKILL_TXT_000021	Strengthens the elemental damage of a weapon.
IDS_PROPSKILL_TXT_000022	Bloody Strike
IDS_PROPSKILL_TXT_000023	Drains life from an enemy.
IDS_PROPSKILL_TXT_000024	Sword Mastery
IDS_PROPSKILL_TXT_000025	Increases the striking power of a sword.
IDS_PROPSKILL_TXT_000026	Axe Mastery
IDS_PROPSKILL_TXT_000027	Increases the striking power of an axe.
IDS_PROPSKILL_TXT_000028	Special Hit
IDS_PROPSKILL_TXT_000029	A single, powerful strike.
IDS_PROPSKILL_TXT_000030	Guillotine
IDS_PROPSKILL_TXT_000031	A powerful, ranged attack.
IDS_PROPSKILL_TXT_000032	Sneaker
IDS_PROPSKILL_TXT_000033	Stops an enemy.
IDS_PROPSKILL_TXT_000034	Hit Reflect
IDS_PROPSKILL_TXT_000035	This skill absorbs one attack and releases back at an enemy.
IDS_PROPSKILL_TXT_000036	Guard
IDS_PROPSKILL_TXT_000037	Increases defense by lowering attack power. Requires a two-handed weapon.
IDS_PROPSKILL_TXT_000038	Pain Reflection
IDS_PROPSKILL_TXT_000039	Reflects a part of the damage received by an enemy.
IDS_PROPSKILL_TXT_000040	Rage
IDS_PROPSKILL_TXT_000041	Increases striking power and HP. Lowers defense and accuracy rate. Requires a two-handed weapon.
IDS_PROPSKILL_TXT_000042	Power Swing
IDS_PROPSKILL_TXT_000043	To strike a blow at the enemy by flourishing a weapon. Requires a two-handed weapon.
IDS_PROPSKILL_TXT_000044	Earth Divider
IDS_PROPSKILL_TXT_000045	Powerful, downward strike.
IDS_PROPSKILL_TXT_000046	Charge
IDS_PROPSKILL_TXT_000047	Powerful, upward strike.
IDS_PROPSKILL_TXT_000048	Pain Dealer
IDS_PROPSKILL_TXT_000049	Powerful, downward strike. Lowers the defense of the target. Requires two-handed axe.
IDS_PROPSKILL_TXT_000050	Power Stomp
IDS_PROPSKILL_TXT_000051	Pounds the ground, stunning nearby enemies. Requires two-handed axe.
IDS_PROPSKILL_TXT_000052	Cross Strike
IDS_PROPSKILL_TXT_000053	Powerful strike using two weapons.
IDS_PROPSKILL_TXT_000054	Armor Penetrate
IDS_PROPSKILL_TXT_000055	Strikes at the enemy and lowers its defense.
IDS_PROPSKILL_TXT_000056	Silent Strike
IDS_PROPSKILL_TXT_000057	A fast, sliding strike. Requires two weapons.
IDS_PROPSKILL_TXT_000058	Blade Dance
IDS_PROPSKILL_TXT_000059	Strikes at multiple enemies. Requires two swords.
IDS_PROPSKILL_TXT_000060	Spring Attack
IDS_PROPSKILL_TXT_000061	Strikes at an enemy multiple times. Requires two axes.
IDS_PROPSKILL_TXT_000062	Hawk Attack
IDS_PROPSKILL_TXT_000063	Powerful, downward strike. Small chance to blind the target. Requires two axes.
IDS_PROPSKILL_TXT_000064	Sonic Blade
IDS_PROPSKILL_TXT_000065	Powerful, slashing attack. Requires two weapons.
IDS_PROPSKILL_TXT_000066	Berserk
IDS_PROPSKILL_TXT_000067	Increases attack speed and striking power. Unable to use other skills using Berserk.
IDS_PROPSKILL_TXT_000068	Heal
IDS_PROPSKILL_TXT_000069	Recover the HP of a target.
IDS_PROPSKILL_TXT_000070	Straight Punch
IDS_PROPSKILL_TXT_000071	Powerful, straight punch.
IDS_PROPSKILL_TXT_000072	Resurrection
IDS_PROPSKILL_TXT_000073	Resurrects a dead player.
IDS_PROPSKILL_TXT_000074	Patience
IDS_PROPSKILL_TXT_000075	Increase the Max. HP of a target for a limited time.
IDS_PROPSKILL_TXT_000076	Prevention
IDS_PROPSKILL_TXT_000077	Target recovers HP when it reaches below a certain point.
IDS_PROPSKILL_TXT_000078	Heap Up
IDS_PROPSKILL_TXT_000079	Increases the physical strength of the target.
IDS_PROPSKILL_TXT_000080	Cannon Ball
IDS_PROPSKILL_TXT_000081	Increases the DEX of the target.
IDS_PROPSKILL_TXT_000082	Circle Healing
IDS_PROPSKILL_TXT_000083	Heals party members close to you.
IDS_PROPSKILL_TXT_000084	Mental Sign
IDS_PROPSKILL_TXT_000085	Increases INT of a target
IDS_PROPSKILL_TXT_000086	Beef Up
IDS_PROPSKILL_TXT_000087	Increases striking power of a target.
IDS_PROPSKILL_TXT_000088	Burst Crack
IDS_PROPSKILL_TXT_000089	Pounds the ground and damages enemies around you.
IDS_PROPSKILL_TXT_000090	Stonehand
IDS_PROPSKILL_TXT_000091	All attacks gain the chance to stun.
IDS_PROPSKILL_TXT_000092	Quick Step
IDS_PROPSKILL_TXT_000093	Increases the walk speed of a target.
IDS_PROPSKILL_TXT_000094	Cat's Reflex
IDS_PROPSKILL_TXT_000095	Increases the block rate of a target.
IDS_PROPSKILL_TXT_000096	Accuracy
IDS_PROPSKILL_TXT_000097	Increases the accuracy of a target.
IDS_PROPSKILL_TXT_000098	Power Fist
IDS_PROPSKILL_TXT_000099	Concentrated power strike.
IDS_PROPSKILL_TXT_000100	Haste
IDS_PROPSKILL_TXT_000101	Increases attack speed of a target.
IDS_PROPSKILL_TXT_000102	Heal Rain
IDS_PROPSKILL_TXT_000103	Recovers HP for party members near you.
IDS_PROPSKILL_TXT_000104	Holycross
IDS_PROPSKILL_TXT_000105	Target enemy takes double damage for a limited time.
IDS_PROPSKILL_TXT_000106	Protect
IDS_PROPSKILL_TXT_000107	Decreases the damage from physical attacks on a target.
IDS_PROPSKILL_TXT_000108	Holyguard
IDS_PROPSKILL_TXT_000109	Decreases the damage from magical attacks on a target.
IDS_PROPSKILL_TXT_000110	Spirit Fortune
IDS_PROPSKILL_TXT_000111	Increases striking power of a target.
IDS_PROPSKILL_TXT_000112	Gvur Tialla
IDS_PROPSKILL_TXT_000113	Removes de-buffs from a target.
IDS_PROPSKILL_TXT_000114	Geburah Tiphreth
IDS_PROPSKILL_TXT_000115	This ability draws upon the inner strength of nearby party members, increasing both Attack Power and Attack Speed for a limited time.
IDS_PROPSKILL_TXT_000116	Merkaba Hanzelrusha
IDS_PROPSKILL_TXT_000117	Enemies take damage in an area around you.
IDS_PROPSKILL_TXT_000118	Belial Smashing
IDS_PROPSKILL_TXT_000119	Sliding, crushing attack.
IDS_PROPSKILL_TXT_000120	Piercing Serpent
IDS_PROPSKILL_TXT_000121	Fires a piercing beam at the target. 
IDS_PROPSKILL_TXT_000122	Blood Fist
IDS_PROPSKILL_TXT_000123	Strikes a heavy blow to the enemy that causes it to lose health over time.
IDS_PROPSKILL_TXT_000124	Sonichand
IDS_PROPSKILL_TXT_000125	Fast, straight punch.
IDS_PROPSKILL_TXT_000126	Asmodeus
IDS_PROPSKILL_TXT_000127	Increases striking power.
IDS_PROPSKILL_TXT_000128	Baraqijal Esna
IDS_PROPSKILL_TXT_000129	Increases striking power while decreasing defensive power
IDS_PROPSKILL_TXT_000130	Bgvur Tialbold
IDS_PROPSKILL_TXT_000131	Strikes at nearby enemies with an outward shockwave.
IDS_PROPSKILL_TXT_000132	Asalraalaikum
IDS_PROPSKILL_TXT_000133	Fully concentrated strike. Consumes 100% MP.
IDS_PROPSKILL_TXT_000134	Flame Ball
IDS_PROPSKILL_TXT_000135	Strikes at the enemy with a ball of flame.
IDS_PROPSKILL_TXT_000136	Flame Geyser
IDS_PROPSKILL_TXT_000137	Damages the enemy continuously with a geyser of flame.
IDS_PROPSKILL_TXT_000138	Swordwind
IDS_PROPSKILL_TXT_000139	Ranged, wind attack.
IDS_PROPSKILL_TXT_000140	Strongwind
IDS_PROPSKILL_TXT_000141	Ranged, wind attack that moves the enemy.
IDS_PROPSKILL_TXT_000142	Blinkpool
IDS_PROPSKILL_TXT_000143	Allows you to teleport.
IDS_PROPSKILL_TXT_000144	Ice Missile
IDS_PROPSKILL_TXT_000145	Blasts the enemy with a missile of ice.
IDS_PROPSKILL_TXT_000146	Static Ball
IDS_PROPSKILL_TXT_000147	Damages the enemy with a ball of static.
IDS_PROPSKILL_TXT_000148	Stone Spike
IDS_PROPSKILL_TXT_000149	Damages an enemy with a stone spike. Chance to stun the enemy.
IDS_PROPSKILL_TXT_000150	Mental Strike
IDS_PROPSKILL_TXT_000151	Ranged Mental attack.
IDS_PROPSKILL_TXT_000152	Fire Strike
IDS_PROPSKILL_TXT_000153	Damages an enemy with a fire ball. The enemy loses health for a limited time afterwards.
IDS_PROPSKILL_TXT_000154	Wind Cutter
IDS_PROPSKILL_TXT_000155	Ranged, wind attack.
IDS_PROPSKILL_TXT_000156	Waterball
IDS_PROPSKILL_TXT_000157	A water attack that shoots multiple water orbs at your target.  The amount and strength of the orbs increases based on the skill level.
IDS_PROPSKILL_TXT_000158	Water Well
IDS_PROPSKILL_TXT_000159	Splashes the enemy with a water attack. The enemy takes damage over time.
IDS_PROPSKILL_TXT_000160	Lighting Ram
IDS_PROPSKILL_TXT_000161	Damages the enemy with an electric ball
IDS_PROPSKILL_TXT_000162	Lighting Shock
IDS_PROPSKILL_TXT_000163	Damages the enemy with a small but fast lightning ball.
IDS_PROPSKILL_TXT_000164	Rock Crash
