IDS_PROPMOVER_TXT_000000	Défaut
IDS_PROPMOVER_TXT_000001	
IDS_PROPMOVER_TXT_000002	Garçon
IDS_PROPMOVER_TXT_000003	
IDS_PROPMOVER_TXT_000004	Fille
IDS_PROPMOVER_TXT_000005	
IDS_PROPMOVER_TXT_000006	Jeune Aibatt
IDS_PROPMOVER_TXT_000007	
IDS_PROPMOVER_TXT_000008	Aibatt
IDS_PROPMOVER_TXT_000009	
IDS_PROPMOVER_TXT_000010	Capitaine Aibatt
IDS_PROPMOVER_TXT_000011	
IDS_PROPMOVER_TXT_000012	Géant Aibatt
IDS_PROPMOVER_TXT_000013	
IDS_PROPMOVER_TXT_000014	Jeune Mushpang
IDS_PROPMOVER_TXT_000015	
IDS_PROPMOVER_TXT_000016	Mushpang
IDS_PROPMOVER_TXT_000017	
IDS_PROPMOVER_TXT_000018	Capitaine Mushpang
IDS_PROPMOVER_TXT_000019	
IDS_PROPMOVER_TXT_000020	Géant Mushpang
IDS_PROPMOVER_TXT_000021	
IDS_PROPMOVER_TXT_000022	Jeune Burudeng
IDS_PROPMOVER_TXT_000023	
IDS_PROPMOVER_TXT_000024	Burudeng
IDS_PROPMOVER_TXT_000025	
IDS_PROPMOVER_TXT_000026	Capitaine Burudeng
IDS_PROPMOVER_TXT_000027	
IDS_PROPMOVER_TXT_000028	Géant Burudeng
IDS_PROPMOVER_TXT_000029	
IDS_PROPMOVER_TXT_000030	Jeune Pukepuke
IDS_PROPMOVER_TXT_000031	
IDS_PROPMOVER_TXT_000032	Pukepuke
IDS_PROPMOVER_TXT_000033	
IDS_PROPMOVER_TXT_000034	Capitaine Pukepuke
IDS_PROPMOVER_TXT_000035	
IDS_PROPMOVER_TXT_000036	Géant Pukepuke
IDS_PROPMOVER_TXT_000037	
IDS_PROPMOVER_TXT_000038	Jeune Peakyturtle
IDS_PROPMOVER_TXT_000039	
IDS_PROPMOVER_TXT_000040	Peakyturtle
IDS_PROPMOVER_TXT_000041	
IDS_PROPMOVER_TXT_000042	Capitaine Peakyturtle
IDS_PROPMOVER_TXT_000043	
IDS_PROPMOVER_TXT_000044	Géant Peakyturtle
IDS_PROPMOVER_TXT_000045	
IDS_PROPMOVER_TXT_000046	Jeune Demian
IDS_PROPMOVER_TXT_000047	
IDS_PROPMOVER_TXT_000048	Demian
IDS_PROPMOVER_TXT_000049	
IDS_PROPMOVER_TXT_000050	Capitaine Demian
IDS_PROPMOVER_TXT_000051	
IDS_PROPMOVER_TXT_000052	Géant Demian
IDS_PROPMOVER_TXT_000053	
IDS_PROPMOVER_TXT_000054	Jeune Doridoma
IDS_PROPMOVER_TXT_000055	
IDS_PROPMOVER_TXT_000056	Doridoma
IDS_PROPMOVER_TXT_000057	
IDS_PROPMOVER_TXT_000058	Capitaine Doridoma
IDS_PROPMOVER_TXT_000059	
IDS_PROPMOVER_TXT_000060	Géant Doridoma
IDS_PROPMOVER_TXT_000061	
IDS_PROPMOVER_TXT_000062	Jeune Lawolf
IDS_PROPMOVER_TXT_000063	
IDS_PROPMOVER_TXT_000064	Lawolf
IDS_PROPMOVER_TXT_000065	
IDS_PROPMOVER_TXT_000066	Capitaine Lawolf
IDS_PROPMOVER_TXT_000067	
IDS_PROPMOVER_TXT_000068	Géant Lawolf
IDS_PROPMOVER_TXT_000069	
IDS_PROPMOVER_TXT_000070	Jeune Fefern
IDS_PROPMOVER_TXT_000071	
IDS_PROPMOVER_TXT_000072	Fefern
IDS_PROPMOVER_TXT_000073	
IDS_PROPMOVER_TXT_000074	Capitaine Fefern
IDS_PROPMOVER_TXT_000075	
IDS_PROPMOVER_TXT_000076	Géant Fefern
IDS_PROPMOVER_TXT_000077	
IDS_PROPMOVER_TXT_000078	Jeune Nyangnyang
IDS_PROPMOVER_TXT_000079	
IDS_PROPMOVER_TXT_000080	Nyangnyang
IDS_PROPMOVER_TXT_000081	
IDS_PROPMOVER_TXT_000082	Capitaine Nyangnyang
IDS_PROPMOVER_TXT_000083	
IDS_PROPMOVER_TXT_000084	Géant Nyangnyang
IDS_PROPMOVER_TXT_000085	
IDS_PROPMOVER_TXT_000086	Jeune Bang
IDS_PROPMOVER_TXT_000087	
IDS_PROPMOVER_TXT_000088	Bang
IDS_PROPMOVER_TXT_000089	
IDS_PROPMOVER_TXT_000090	Capitaine Bang
IDS_PROPMOVER_TXT_000091	
IDS_PROPMOVER_TXT_000092	Géant Bang
IDS_PROPMOVER_TXT_000093	
IDS_PROPMOVER_TXT_000094	Jeune Wagsaac
IDS_PROPMOVER_TXT_000095	
IDS_PROPMOVER_TXT_000096	Wagsaac
IDS_PROPMOVER_TXT_000097	
IDS_PROPMOVER_TXT_000098	Capitaine Wagsaac
IDS_PROPMOVER_TXT_000099	
IDS_PROPMOVER_TXT_000100	Géant Wagsaac
IDS_PROPMOVER_TXT_000101	
IDS_PROPMOVER_TXT_000102	Jeune Mia
IDS_PROPMOVER_TXT_000103	
IDS_PROPMOVER_TXT_000104	Mia
IDS_PROPMOVER_TXT_000105	
IDS_PROPMOVER_TXT_000106	Capitaine Mia
IDS_PROPMOVER_TXT_000107	
IDS_PROPMOVER_TXT_000108	Géant Mia
IDS_PROPMOVER_TXT_000109	
IDS_PROPMOVER_TXT_000110	Jeune Pumpkin
IDS_PROPMOVER_TXT_000111	
IDS_PROPMOVER_TXT_000112	Pumpkin
IDS_PROPMOVER_TXT_000113	
IDS_PROPMOVER_TXT_000114	Capitaine Pumpkin
IDS_PROPMOVER_TXT_000115	
IDS_PROPMOVER_TXT_000116	Géant Pumpkin
IDS_PROPMOVER_TXT_000117	
IDS_PROPMOVER_TXT_000118	Jeune Mantis
IDS_PROPMOVER_TXT_000119	
IDS_PROPMOVER_TXT_000120	Mantis
IDS_PROPMOVER_TXT_000121	
IDS_PROPMOVER_TXT_000122	Capitaine Mantis
IDS_PROPMOVER_TXT_000123	
IDS_PROPMOVER_TXT_000124	Géant Red Mantis
IDS_PROPMOVER_TXT_000125	
IDS_PROPMOVER_TXT_000126	Jeune Jackammer
IDS_PROPMOVER_TXT_000127	
IDS_PROPMOVER_TXT_000128	Jackammer
IDS_PROPMOVER_TXT_000129	
IDS_PROPMOVER_TXT_000130	Capitaine Jackammer
IDS_PROPMOVER_TXT_000131	
IDS_PROPMOVER_TXT_000132	Géant Jackammer
IDS_PROPMOVER_TXT_000133	
IDS_PROPMOVER_TXT_000134	Jeune Gigglebox
IDS_PROPMOVER_TXT_000135	
IDS_PROPMOVER_TXT_000136	Gigglebox
IDS_PROPMOVER_TXT_000137	
IDS_PROPMOVER_TXT_000138	Capitaine Gigglebox
IDS_PROPMOVER_TXT_000139	
IDS_PROPMOVER_TXT_000140	Géant Gigglebox
IDS_PROPMOVER_TXT_000141	
IDS_PROPMOVER_TXT_000142	Jeune Musclor
IDS_PROPMOVER_TXT_000143	
IDS_PROPMOVER_TXT_000144	Musclor
IDS_PROPMOVER_TXT_000145	
IDS_PROPMOVER_TXT_000146	Capitaine Musclor
IDS_PROPMOVER_TXT_000147	
IDS_PROPMOVER_TXT_000148	Géant Musclor
IDS_PROPMOVER_TXT_000149	
IDS_PROPMOVER_TXT_000150	Jeune Hobo
IDS_PROPMOVER_TXT_000151	
IDS_PROPMOVER_TXT_000152	Hobo
IDS_PROPMOVER_TXT_000153	
IDS_PROPMOVER_TXT_000154	Capitaine Hobo
IDS_PROPMOVER_TXT_000155	
IDS_PROPMOVER_TXT_000156	Géant Hobo
IDS_PROPMOVER_TXT_000157	
IDS_PROPMOVER_TXT_000158	Jeune Dumbull
IDS_PROPMOVER_TXT_000159	
IDS_PROPMOVER_TXT_000160	Dumbull
IDS_PROPMOVER_TXT_000161	
IDS_PROPMOVER_TXT_000162	Capitaine Dumbull
