IDS_PROPSKILL_TXT_000000	Frappe pure
IDS_PROPSKILL_TXT_000001	Inflige une frappe puissante à l'ennemi
IDS_PROPSKILL_TXT_000002	Volée de coups
IDS_PROPSKILL_TXT_000003	Frappe l'ennemi à de multiples reprises
IDS_PROPSKILL_TXT_000004	Coup de grâce
IDS_PROPSKILL_TXT_000005	Concentre toute l'énergie nécessaire pour infliger un coup final surpuissant
IDS_PROPSKILL_TXT_000006	Fulgurance
IDS_PROPSKILL_TXT_000007	Charge la force pendant un court instant, puis frappe l'ennemi à deux reprises
IDS_PROPSKILL_TXT_000008	Frénésie
IDS_PROPSKILL_TXT_000009	Attaque circulaire qui frappe l'ennemi à trois reprises
IDS_PROPSKILL_TXT_000010	Coup bas
IDS_PROPSKILL_TXT_000011	Inflige un coup terrible sur le point faible de l'ennemi
IDS_PROPSKILL_TXT_000012	Protection
IDS_PROPSKILL_TXT_000013	Utilise un bouclier pour augmenter la défense
IDS_PROPSKILL_TXT_000014	Vigilance
IDS_PROPSKILL_TXT_000015	Utilise un bouclier pour augmenter le taux de blocage contre les attaques à distance
IDS_PROPSKILL_TXT_000016	Flamberge
IDS_PROPSKILL_TXT_000017	Augmente la puissance d'attaque et la précision lors d'un combat à l'épée
IDS_PROPSKILL_TXT_000018	Tomahawk
IDS_PROPSKILL_TXT_000019	Augmente la puissance d'attaque et la défense lors d'un combat à la hache
IDS_PROPSKILL_TXT_000020	Arme enchantée
IDS_PROPSKILL_TXT_000021	Augmente les dégâts produits par l'enchantement de l'arme équipée
IDS_PROPSKILL_TXT_000022	Soif de sang
IDS_PROPSKILL_TXT_000023	Attaque de mêlée qui absorbe une partie des dommages infligés et les transforme en PV
IDS_PROPSKILL_TXT_000024	Maître des épées
IDS_PROPSKILL_TXT_000025	Augmente grandement la puissance d'attaque lors d'un combat à l'épée
IDS_PROPSKILL_TXT_000026	Maître des haches
IDS_PROPSKILL_TXT_000027	Augmente grandement la puissance d'attaque lors d'un combat à la hache
IDS_PROPSKILL_TXT_000028	Charge
IDS_PROPSKILL_TXT_000029	Charge un ennemi
IDS_PROPSKILL_TXT_000030	Guillotine
IDS_PROPSKILL_TXT_000031	Frappe un ennemi à distance en lui envoyant une vague d'énergie
IDS_PROPSKILL_TXT_000032	Piège
IDS_PROPSKILL_TXT_000033	Immobilise la cible pendant plusieurs secondes
IDS_PROPSKILL_TXT_000034	Vengeance
IDS_PROPSKILL_TXT_000035	Attaque de mêlée à laquelle s'ajoute une partie des dommages reçus lors de la phase de préparation
IDS_PROPSKILL_TXT_000036	Sentinelle
IDS_PROPSKILL_TXT_000037	Augmente la défense au détriment de l'attaque du Chevalier
IDS_PROPSKILL_TXT_000038	Retour de douleur
IDS_PROPSKILL_TXT_000039	Une partie des dégâts reçus par le Chevalier est également infligé à l'ennemi
IDS_PROPSKILL_TXT_000040	Rage
IDS_PROPSKILL_TXT_000041	Augmente l'attaque et les PV au détriment de la défense et de la précision du Chevalier
IDS_PROPSKILL_TXT_000042	Ravage
IDS_PROPSKILL_TXT_000043	Frappe circulaire destructrice qui inflige de lourds dommages et repousse tous les ennemis à proximité
IDS_PROPSKILL_TXT_000044	Séparateur de terre
