IDS_PROPITEM_TXT_000000	標準
IDS_PROPITEM_TXT_000001	
IDS_PROPITEM_TXT_000002	素手
IDS_PROPITEM_TXT_000003	
IDS_PROPITEM_TXT_000004	ペニャ
IDS_PROPITEM_TXT_000005	
IDS_PROPITEM_TXT_000006	ペニャ
IDS_PROPITEM_TXT_000007	
IDS_PROPITEM_TXT_000008	ペニャ
IDS_PROPITEM_TXT_000009	
IDS_PROPITEM_TXT_000010	ペニャ
IDS_PROPITEM_TXT_000011	
IDS_PROPITEM_TXT_000012	P.K報酬
IDS_PROPITEM_TXT_000013	
IDS_PROPITEM_TXT_000014	初心者用ウッド・ソード
IDS_PROPITEM_TXT_000015	
IDS_PROPITEM_TXT_000016	ウッド・ソード
IDS_PROPITEM_TXT_000017	
IDS_PROPITEM_TXT_000018	ノーマル・ソード
IDS_PROPITEM_TXT_000019	
IDS_PROPITEM_TXT_000020	ロング・ソード
IDS_PROPITEM_TXT_000021	
IDS_PROPITEM_TXT_000022	ファイター・ソード
IDS_PROPITEM_TXT_000023	
IDS_PROPITEM_TXT_000024	グラディウス
IDS_PROPITEM_TXT_000025	
IDS_PROPITEM_TXT_000026	リーフ・ソード
IDS_PROPITEM_TXT_000027	
IDS_PROPITEM_TXT_000028	パーミル・ソード
IDS_PROPITEM_TXT_000029	
IDS_PROPITEM_TXT_000030	ペネル・ソード
IDS_PROPITEM_TXT_000031	
IDS_PROPITEM_TXT_000032	クリムゾン・ソード
IDS_PROPITEM_TXT_000033	
IDS_PROPITEM_TXT_000034	フラワー・ソード
IDS_PROPITEM_TXT_000035	
IDS_PROPITEM_TXT_000036	フェータル・ソード
IDS_PROPITEM_TXT_000037	
IDS_PROPITEM_TXT_000038	スター・ソード
IDS_PROPITEM_TXT_000039	
IDS_PROPITEM_TXT_000040	ブリンク・ソード
IDS_PROPITEM_TXT_000041	
IDS_PROPITEM_TXT_000042	スロッガー・ソード
IDS_PROPITEM_TXT_000043	
IDS_PROPITEM_TXT_000044	アウトロウ・ソード
IDS_PROPITEM_TXT_000045	
IDS_PROPITEM_TXT_000046	フェアライト・ソード
IDS_PROPITEM_TXT_000047	
IDS_PROPITEM_TXT_000048	フェアスレンダー・ソード
IDS_PROPITEM_TXT_000049	
IDS_PROPITEM_TXT_000050	タートル・ソード
IDS_PROPITEM_TXT_000051	
IDS_PROPITEM_TXT_000052	クリップ・ソード
IDS_PROPITEM_TXT_000053	
IDS_PROPITEM_TXT_000054	オーバル・ソード
IDS_PROPITEM_TXT_000055	
IDS_PROPITEM_TXT_000056	タオ・ソード
IDS_PROPITEM_TXT_000057	
IDS_PROPITEM_TXT_000058	ジャイム・ソード
IDS_PROPITEM_TXT_000059	
IDS_PROPITEM_TXT_000060	シーパル・ソード
IDS_PROPITEM_TXT_000061	
IDS_PROPITEM_TXT_000062	ヘンゼル・ソード
IDS_PROPITEM_TXT_000063	
IDS_PROPITEM_TXT_000064	サイロス・ソード
IDS_PROPITEM_TXT_000065	
IDS_PROPITEM_TXT_000066	コメット・ソード
IDS_PROPITEM_TXT_000067	
IDS_PROPITEM_TXT_000068	インベーダ・ソード
IDS_PROPITEM_TXT_000069	
