IDS_PROPMOVER_TXT_000000	標準
IDS_PROPMOVER_TXT_000001	
IDS_PROPMOVER_TXT_000002	男性
IDS_PROPMOVER_TXT_000003	
IDS_PROPMOVER_TXT_000004	女性
IDS_PROPMOVER_TXT_000005	
IDS_PROPMOVER_TXT_000006	スモール・アイバット
IDS_PROPMOVER_TXT_000007	
IDS_PROPMOVER_TXT_000008	アイバット
IDS_PROPMOVER_TXT_000009	
IDS_PROPMOVER_TXT_000010	キャプテン・アイバット
IDS_PROPMOVER_TXT_000011	
IDS_PROPMOVER_TXT_000012	ジャイアント・アイバット
IDS_PROPMOVER_TXT_000013	
IDS_PROPMOVER_TXT_000014	スモール・マッシュファング
IDS_PROPMOVER_TXT_000015	
IDS_PROPMOVER_TXT_000016	マッシュファング
IDS_PROPMOVER_TXT_000017	
IDS_PROPMOVER_TXT_000018	キャプテン・マッシュファング
IDS_PROPMOVER_TXT_000019	
IDS_PROPMOVER_TXT_000020	ジャイアント・マッシュファング
IDS_PROPMOVER_TXT_000021	
IDS_PROPMOVER_TXT_000022	スモール・ブルデング
IDS_PROPMOVER_TXT_000023	
IDS_PROPMOVER_TXT_000024	ブルデング
IDS_PROPMOVER_TXT_000025	
IDS_PROPMOVER_TXT_000026	キャプテン・ブルデング
IDS_PROPMOVER_TXT_000027	
IDS_PROPMOVER_TXT_000028	ジャイアント・ブルデング
IDS_PROPMOVER_TXT_000029	
IDS_PROPMOVER_TXT_000030	スモール・プケプケ
IDS_PROPMOVER_TXT_000031	
IDS_PROPMOVER_TXT_000032	プケプケ
IDS_PROPMOVER_TXT_000033	
IDS_PROPMOVER_TXT_000034	キャプテン・プケプケ
IDS_PROPMOVER_TXT_000035	
IDS_PROPMOVER_TXT_000036	ジャイアント・プケプケ
IDS_PROPMOVER_TXT_000037	
IDS_PROPMOVER_TXT_000038	スモール・ピーキータートル
IDS_PROPMOVER_TXT_000039	
IDS_PROPMOVER_TXT_000040	ピーキータートル
IDS_PROPMOVER_TXT_000041	
IDS_PROPMOVER_TXT_000042	キャプテン・ピーキータートル
IDS_PROPMOVER_TXT_000043	
IDS_PROPMOVER_TXT_000044	ジャイアント・ピーキータートル
IDS_PROPMOVER_TXT_000045	
IDS_PROPMOVER_TXT_000046	いたずらデミアン
IDS_PROPMOVER_TXT_000047	
IDS_PROPMOVER_TXT_000048	デミアン
IDS_PROPMOVER_TXT_000049	
IDS_PROPMOVER_TXT_000050	バッド・デミアン
IDS_PROPMOVER_TXT_000051	
IDS_PROPMOVER_TXT_000052	ジャイアント・デミアン
IDS_PROPMOVER_TXT_000053	
IDS_PROPMOVER_TXT_000054	スモール・ドリドマ
IDS_PROPMOVER_TXT_000055	
IDS_PROPMOVER_TXT_000056	ドリドマ
IDS_PROPMOVER_TXT_000057	
IDS_PROPMOVER_TXT_000058	キャプテン・ドリドマ
IDS_PROPMOVER_TXT_000059	
IDS_PROPMOVER_TXT_000060	ジャイアント・ドリドマ
IDS_PROPMOVER_TXT_000061	
IDS_PROPMOVER_TXT_000062	ヤング・ラーウルフ
IDS_PROPMOVER_TXT_000063	
IDS_PROPMOVER_TXT_000064	ラーウルフ
IDS_PROPMOVER_TXT_000065	
IDS_PROPMOVER_TXT_000066	グロウアップ・ラーウルフ
IDS_PROPMOVER_TXT_000067	
IDS_PROPMOVER_TXT_000068	ジャイアント・ラーウルフ
IDS_PROPMOVER_TXT_000069	
IDS_PROPMOVER_TXT_000070	1クラス・フェフェルン
IDS_PROPMOVER_TXT_000071	
IDS_PROPMOVER_TXT_000072	フェフェルン
IDS_PROPMOVER_TXT_000073	
IDS_PROPMOVER_TXT_000074	2クラス・フェフェルン
IDS_PROPMOVER_TXT_000075	
IDS_PROPMOVER_TXT_000076	ジャイアント・フェフェルン
IDS_PROPMOVER_TXT_000077	
IDS_PROPMOVER_TXT_000078	キュート・ニャングニャング
IDS_PROPMOVER_TXT_000079	
IDS_PROPMOVER_TXT_000080	ニャングニャング
IDS_PROPMOVER_TXT_000081	
