IDS_PROPSKILL_TXT_000000	ｸﾘｰﾝﾋｯﾄ
IDS_PROPSKILL_TXT_000001	ステップスキルで、力を溜め、強力な一撃を与えます。
IDS_PROPSKILL_TXT_000002	ﾌﾞﾗﾝﾃﾞｨｯｼｭ
IDS_PROPSKILL_TXT_000003	サークルスキルで、素早く連続で突き刺し、攻撃します。
IDS_PROPSKILL_TXT_000004	ｵｰﾊﾞｰｶｯﾀｰ
IDS_PROPSKILL_TXT_000005	フニッシュスキルで、下から斬り上げるように強烈な一撃を与えます。
IDS_PROPSKILL_TXT_000006	ｽﾌﾟﾙﾏｯｼｭ
IDS_PROPSKILL_TXT_000007	ステップスキルで、2回連続で攻撃を行います。
IDS_PROPSKILL_TXT_000008	ｷｰﾝﾌｨｰﾙ
IDS_PROPSKILL_TXT_000009	サークルスキルで、身体を回転させながら、相手を切り刻むように攻撃します。
IDS_PROPSKILL_TXT_000010	ﾌﾞﾗｲﾝﾄﾞｻｲﾄﾞ
IDS_PROPSKILL_TXT_000011	フィニッシュスキルで、敵の急所を狙って強烈な一撃を放ちます。
IDS_PROPSKILL_TXT_000012	ﾌﾟﾛﾃｸｼｮﾝ
IDS_PROPSKILL_TXT_000013	盾を使い一定時間、防御力を上昇させます。
IDS_PROPSKILL_TXT_000014	ﾊﾟﾝﾊﾞﾘｱ
IDS_PROPSKILL_TXT_000015	長距離攻撃に対して、盾で防ぎます。
IDS_PROPSKILL_TXT_000016	ﾌﾞﾚｲｼﾞﾝｸﾞｿｰﾄﾞ
IDS_PROPSKILL_TXT_000017	ソードを装備している際に攻撃力を上昇させます。
IDS_PROPSKILL_TXT_000018	ｽﾏｲﾄｱｯｸｽ
IDS_PROPSKILL_TXT_000019	両手斧を装備している際に攻撃力と防御力を上昇させます。
IDS_PROPSKILL_TXT_000020	ﾊﾟﾜｰｳｪﾎﾟﾝ
IDS_PROPSKILL_TXT_000021	属性が付与されている武器を装備している場合、一定時間、キャラクターの属性攻撃力を増加させます。
IDS_PROPSKILL_TXT_000022	ﾌﾞﾗｯﾃﾞｨｽﾄﾗｲｸ
IDS_PROPSKILL_TXT_000023	サークルスキルで、相手を攻撃し、ダメージの一部を吸収して自分のHPを回復させます。
IDS_PROPSKILL_TXT_000024	ｿｰﾄﾞﾏｽﾀﾘｰ
IDS_PROPSKILL_TXT_000025	剣の熟練度を上昇させ、剣を装備した際の攻撃力をアップさせます。
IDS_PROPSKILL_TXT_000026	ｱｯｸｽﾏｽﾀﾘｰ
IDS_PROPSKILL_TXT_000027	斧の熟練度を上昇させ、斧を装備した際の攻撃力をアップさせます。
IDS_PROPSKILL_TXT_000028	ﾗｲﾄﾁｬｰｼﾞ
IDS_PROPSKILL_TXT_000029	バックステップから強力な突撃を行います。
IDS_PROPSKILL_TXT_000030	ｿｰﾄﾞｽﾗｯｼｭ
IDS_PROPSKILL_TXT_000031	剣に込めた気を刃と化して対象に飛ばして攻撃をします。
IDS_PROPSKILL_TXT_000032	ｽﾈｰｶｰ
IDS_PROPSKILL_TXT_000033	強烈な殺気で対象を取り囲み、対象の動きを封じます。
IDS_PROPSKILL_TXT_000034	ﾘﾌﾚｯｸｽﾋｯﾄ
IDS_PROPSKILL_TXT_000035	対象に攻撃す際に受けたダメージの反射量を合わせてダメージを与えます。
IDS_PROPSKILL_TXT_000036	ｶﾞｰﾄﾞ
IDS_PROPSKILL_TXT_000037	防御に専念することで、一定時間、攻撃力が下がる代わりに防御力が上昇します。
IDS_PROPSKILL_TXT_000038	ﾍﾟｲﾝﾘﾌﾚｸｼｮﾝ
IDS_PROPSKILL_TXT_000039	敵の攻撃の隙をついて反撃することで、受けたダメージの一部を敵に送り返します。
IDS_PROPSKILL_TXT_000040	ﾚｲｼﾞ
IDS_PROPSKILL_TXT_000041	攻撃に専念することで、一定時間、防御力と命中率が下がる代わりに、攻撃力と最大HPが上昇します。
IDS_PROPSKILL_TXT_000042	ﾊﾟﾜｰｽｳｨﾝｸﾞ
