IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000000	エランパークス\n（ダーコン第1地区）
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000001	生産量第2位のエランス生産工場です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000002	レルエン山脈の中部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000003	フラリスの屋根と呼ばれているレルエン山脈の中部地帯\nハイドワーフの生息地とバブルの平原があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000004	フラリス\n中央広場
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000005	フラリスの中央に位置する広場です。\nフラリスの全てを管理しているシティーホールとステーション、\nまた、武器ショップと防具ショップがあります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000006	フラリス\n東広場
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000007	フラリスの東に位置する広場です。\nロシャのフードショップと依頼所、また、マジックショップと職業訓練所があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000008	フラリス\n北広場
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000009	フラリスの北に位置する広場です。\nロードスターがあり、各職業のマスター達がいます。　
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000010	上の方に何者かの気配がします。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000011	バブルの平原
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000012	バブルなる人物が、3日で創ったと言われている伝説の平原\nフラリスの人々は、彼がいにしえのピエロだろうと言っています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000013	レルエン山脈の南部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000014	フラリスの屋根と呼ばれているレルエン山脈の南部地帯
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000015	ギルドコンバットセンター
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000016	ギルドコンバットに関する管理しています。通称「GCC」と呼ばれています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000017	レルエン山脈の南部\nシヴァーモンスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000018	シヴァーモンスターの何かが隠されているという祭壇\n神秘なる不思議な力を持つ伝道師が存在します。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000019	キプラ（ダーコン第1地区）
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000020	マドリガル1のエランス生産量を誇る工場です。\n全体の約80％のエランスを生産しています。　
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000021	ダーコン\n謎の祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000022	何の為に創られた祭壇かは謎ですが、ここで採取した岩石は、\nある事件の証拠として使用できるようです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000023	レルエン山脈の中部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000024	フラリスの屋根と呼ばれているレルエン山脈の中部地帯\nハイドワーフの生息地とバブルの平原があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000025	ハイドワーフの生息地
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000026	古文書を保管している何人かのハイドワーフが集まり、創った生息地です。\nここに生息しているハイドワーフ達は、スキル事典を管理しているそうです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000027	勇気の谷の北部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000028	～ニャングニャングの生息地～
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000029	～猫族ニャングニャングの生息地～
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000030	橋が切れています。\nジャンプしてください。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000031	～ロードライト～\n復活ポイントの登録が可能です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000032	～安全地帯～
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000033	マッドランタウン
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000034	デミアンたちによって創られた町です。\n親に捨てられた子供たちが、デミアンとなって一緒に暮らしています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000035	勇気の谷の中部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000036	滝のように流れ落ちた雨で、大地が掘り起こされ創られた川です。\nハイードワーフ達が、たまに洗濯しに来るそうです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000037	マッドランタウン\nシヴァーモンスターの祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000038	シヴァーモンスターの何かが隠されているという祭壇\n神秘なる不思議な力を持つ伝道師が存在します。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000039	魂の泉
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000040	死者の魂が集まると言われています。\nここの水は聖水とされ、不老不死伝説があるそうです。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000041	レルエン山脈の北部
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000042	フラリスの屋根と呼ばれているレルエン山脈の北部地帯\nフラリスダンジョンと魂の泉があります。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000043	フラリスダンジョン
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000044	昔、採鉱商人によって発見され、開発された鉱山でしたが、\n現在は、モンスターの巣窟になっています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000045	ルードヴィヒの屋敷
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000046	フラリス最高の富豪、ルードヴィヒのお屋敷です。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000047	～デュエルゾーン～
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000048	プレイヤー同士で戦うことができるフィールドです。\n相手をAlt+クリックして表示されるメニューからデュエルを申し込んでください。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000049	セイントツリー
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000050	遥かいにしえより、幾歳月を経た霊樹です。\nセイントモーニングの守護樹として大切にされています。
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000051	セイントモーニング\n謎の祭壇
IDS_WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000052	何の為に創られた祭壇かは謎ですが、ここで採取した岩石は、\nある事件の証拠として使用できるようです。
