IDS_PROPCTRL_TXT_000000	작은보물상자
IDS_PROPCTRL_TXT_000001	
IDS_PROPCTRL_TXT_000002	작은보물상자_세로
IDS_PROPCTRL_TXT_000003	
IDS_PROPCTRL_TXT_000004	레버
IDS_PROPCTRL_TXT_000005	
IDS_PROPCTRL_TXT_000006	던전 게이트
IDS_PROPCTRL_TXT_000007	
IDS_PROPCTRL_TXT_000008	키쿤 감옥
IDS_PROPCTRL_TXT_000009	
IDS_PROPCTRL_TXT_000010	키메라돈 감옥
IDS_PROPCTRL_TXT_000011	
IDS_PROPCTRL_TXT_000012	메테오니커 감옥
IDS_PROPCTRL_TXT_000013	
IDS_PROPCTRL_TXT_000014	핑키로치플 에그
IDS_PROPCTRL_TXT_000015	
IDS_PROPCTRL_TXT_000016	블루로치플 에그
IDS_PROPCTRL_TXT_000017	
IDS_PROPCTRL_TXT_000018	핑키로치퀸 에그
IDS_PROPCTRL_TXT_000019	
IDS_PROPCTRL_TXT_000020	블루로치퀸 에그
IDS_PROPCTRL_TXT_000021	
IDS_PROPCTRL_TXT_000022	그린 트릴리피 에그
IDS_PROPCTRL_TXT_000023	
IDS_PROPCTRL_TXT_000024	바이올렛 트릴리피 에그
IDS_PROPCTRL_TXT_000025	
IDS_PROPCTRL_TXT_000026	블러드 트릴리피 에그
IDS_PROPCTRL_TXT_000027	
IDS_PROPCTRL_TXT_000028	워프 머신
IDS_PROPCTRL_TXT_000029	
IDS_PROPCTRL_TXT_000030	워프 보드
IDS_PROPCTRL_TXT_000031	
IDS_PROPCTRL_TXT_000032	워프 보드
IDS_PROPCTRL_TXT_000033	
IDS_PROPCTRL_TXT_000034	워프 보드
IDS_PROPCTRL_TXT_000035	
IDS_PROPCTRL_TXT_000036	경험치상자
IDS_PROPCTRL_TXT_000037	
IDS_PROPCTRL_TXT_000038	기본 싱글 침대(노랑)
IDS_PROPCTRL_TXT_000039	
IDS_PROPCTRL_TXT_000040	기본 장식장(노랑)
IDS_PROPCTRL_TXT_000041	
IDS_PROPCTRL_TXT_000042	기본 화장대(노랑)
IDS_PROPCTRL_TXT_000043	
IDS_PROPCTRL_TXT_000044	기본 긴 의자(노랑)
IDS_PROPCTRL_TXT_000045	
IDS_PROPCTRL_TXT_000046	기본 탁자(노랑)
IDS_PROPCTRL_TXT_000047	
IDS_PROPCTRL_TXT_000048	기본 옷장(노랑)
IDS_PROPCTRL_TXT_000049	
IDS_PROPCTRL_TXT_000050	기본 싱글 침대(파랑)
IDS_PROPCTRL_TXT_000051	
IDS_PROPCTRL_TXT_000052	기본 장식장(파랑)
IDS_PROPCTRL_TXT_000053	
IDS_PROPCTRL_TXT_000054	기본 화장대(파랑)
IDS_PROPCTRL_TXT_000055	
IDS_PROPCTRL_TXT_000056	기본 긴 의자(파랑)
IDS_PROPCTRL_TXT_000057	
IDS_PROPCTRL_TXT_000058	기본 탁자(파랑)
IDS_PROPCTRL_TXT_000059	
IDS_PROPCTRL_TXT_000060	기본 옷장(파랑)
IDS_PROPCTRL_TXT_000061	
IDS_PROPCTRL_TXT_000062	기본 싱글 침대(핑크)
IDS_PROPCTRL_TXT_000063	
IDS_PROPCTRL_TXT_000064	기본 장식장(핑크)
IDS_PROPCTRL_TXT_000065	
IDS_PROPCTRL_TXT_000066	기본 화장대(핑크)
IDS_PROPCTRL_TXT_000067	
IDS_PROPCTRL_TXT_000068	기본 긴 의자(핑크)
IDS_PROPCTRL_TXT_000069	
IDS_PROPCTRL_TXT_000070	기본 탁자(핑크)
IDS_PROPCTRL_TXT_000071	
IDS_PROPCTRL_TXT_000072	기본 옷장(핑크)
IDS_PROPCTRL_TXT_000073	
IDS_PROPCTRL_TXT_000074	모던 싱글 침대(파랑)
IDS_PROPCTRL_TXT_000075	
IDS_PROPCTRL_TXT_000076	모던 장식장(파랑)
IDS_PROPCTRL_TXT_000077	
IDS_PROPCTRL_TXT_000078	모던 화장대(파랑)
IDS_PROPCTRL_TXT_000079	
IDS_PROPCTRL_TXT_000080	모던 긴 의자(파랑)
IDS_PROPCTRL_TXT_000081	
IDS_PROPCTRL_TXT_000082	모던 탁자(파랑)
IDS_PROPCTRL_TXT_000083	
IDS_PROPCTRL_TXT_000084	모던 옷장(파랑)
IDS_PROPCTRL_TXT_000085	
IDS_PROPCTRL_TXT_000086	그린 싱글 침대(파랑)
IDS_PROPCTRL_TXT_000087	
IDS_PROPCTRL_TXT_000088	그린 장식장(파랑)
IDS_PROPCTRL_TXT_000089	
IDS_PROPCTRL_TXT_000090	그린 화장대(파랑)
