IDS_PROPSKILL_TXT_000000	크린히트
IDS_PROPSKILL_TXT_000001	스탭스킬로 소드를 사용하며 강하게 내려쳐서 피해를 입힙니다.
IDS_PROPSKILL_TXT_000002	브랜디쉬
IDS_PROPSKILL_TXT_000003	서클스킬로 소드를 사용하여 비오듯 찔러 연속공격합니다.
IDS_PROPSKILL_TXT_000004	오버커터
IDS_PROPSKILL_TXT_000005	피니쉬스킬로 힘을 최대한 모아 위로 올려칩니다.
IDS_PROPSKILL_TXT_000006	스플매쉬
IDS_PROPSKILL_TXT_000007	스탭스킬로 몸을 굽혀 힘을 모은 뒤 반동을 이용하여 2회 타격합니다.
IDS_PROPSKILL_TXT_000008	킨휠
IDS_PROPSKILL_TXT_000009	서클스킬로 몸을 급속으로 회전하며 상대를 연속 타격합니다.
IDS_PROPSKILL_TXT_000010	블라인드사이드
IDS_PROPSKILL_TXT_000011	피니쉬스킬로 힘을 모아 적을 강하게 타격합니다.
IDS_PROPSKILL_TXT_000012	프로텍션
IDS_PROPSKILL_TXT_000013	방패에 힘을 실어 방어력을 올립니다.
IDS_PROPSKILL_TXT_000014	팬바리어
IDS_PROPSKILL_TXT_000015	방패를 이용하여 장거리 공격무기에 대한 방어율을 증가합니다.
IDS_PROPSKILL_TXT_000016	블레이징소드
IDS_PROPSKILL_TXT_000017	소드의 능력을 강화시켜 공격력과 명중률을 상승시킵니다.
IDS_PROPSKILL_TXT_000018	스마이트 엑스
IDS_PROPSKILL_TXT_000019	엑스의 능력을 강화시켜 공격력과 방어력을 상승시킵니다.
IDS_PROPSKILL_TXT_000020	임파워 웨폰
IDS_PROPSKILL_TXT_000021	속성 무기를 착용 시 공격력을 일시적으로 강화시킵니다.
IDS_PROPSKILL_TXT_000022	블러디 스트라이크
IDS_PROPSKILL_TXT_000023	머서너리 서클스킬로 공격과 동시에 상대방으로부터 HP를 흡수합니다.
IDS_PROPSKILL_TXT_000024	소드 마스터리
IDS_PROPSKILL_TXT_000025	소드의 사용 능력을 높여서 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000026	엑스 마스터리
IDS_PROPSKILL_TXT_000027	엑스의 사용 능력을 높여서 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000028	스페셜 히트
IDS_PROPSKILL_TXT_000029	몸의 반동을 최대한 이용하여 힘을 실어 적을 타격합니다.
IDS_PROPSKILL_TXT_000030	길로틴
IDS_PROPSKILL_TXT_000031	무기에 기를 실어 그것을 적에게 발사하여 타격합니다.
IDS_PROPSKILL_TXT_000032	스네어
IDS_PROPSKILL_TXT_000033	그물을 적에게 씌워 이동하지 못하도록 만듭니다.
IDS_PROPSKILL_TXT_000034	리플렉스 히트
IDS_PROPSKILL_TXT_000035	적으로부터 받는 충격에 자신의 힘을 더하여 타격합니다.
IDS_PROPSKILL_TXT_000036	가드
IDS_PROPSKILL_TXT_000037	방어에 전념하여 공격력을 감소시키고 방어력을 상승시킵니다.
IDS_PROPSKILL_TXT_000038	페인 리플렉션
IDS_PROPSKILL_TXT_000039	적이 자신을 공격할 때 받은 충격의 일부를 적에게 반사시킵니다.
IDS_PROPSKILL_TXT_000040	레이지
IDS_PROPSKILL_TXT_000041	공격에 전념하여 방어력과 명중률을 감소시키고 공격력과 HP를 상승시킵니다.
IDS_PROPSKILL_TXT_000042	파워스윙
IDS_PROPSKILL_TXT_000043	무기를 있는 힘껏 휘둘러 주위의 적들을 날려버립니다.
IDS_PROPSKILL_TXT_000044	어스 디바이더
IDS_PROPSKILL_TXT_000045	땅을 가를듯한 기세로 소드를 수직으로 내려쳐 전방의 적들을 타격합니다.
IDS_PROPSKILL_TXT_000046	차지
IDS_PROPSKILL_TXT_000047	하늘을 가를듯한 기세로 소드를 위로 휘둘러 전방의 적을 타격합니다.
IDS_PROPSKILL_TXT_000048	페인 딜러
IDS_PROPSKILL_TXT_000049	엑스로 적의 갑옷을 내려찍어 일시적으로 방어력을 하락시킵니다.
IDS_PROPSKILL_TXT_000050	파워 스텀프
IDS_PROPSKILL_TXT_000051	양손도끼로 지면을 강하게 내리쳐서 주변의 적들을 타격합니다. 이때 적들을 일정 확률로 스턴 상태로 만듭니다.
IDS_PROPSKILL_TXT_000052	크로스 스트라이크
IDS_PROPSKILL_TXT_000053	양손의 무기를 X자로 교차시키며 적을 타격합니다.
IDS_PROPSKILL_TXT_000054	아머 페너트레이트
IDS_PROPSKILL_TXT_000055	적의 방어가 약한 부분을 노려서 타격합니다. 이때 적의 방어력의 일부가 무시됩니다.
IDS_PROPSKILL_TXT_000056	사일런트 스트라이크
IDS_PROPSKILL_TXT_000057	매우 빠른 움직임으로 적에게 달려들어 타격합니다.
IDS_PROPSKILL_TXT_000058	블레이드 댄스
IDS_PROPSKILL_TXT_000059	춤을 추듯 소드를 휘둘러 주위에 있는 적들을 타격합니다.
IDS_PROPSKILL_TXT_000060	스프링 어텍
IDS_PROPSKILL_TXT_000061	엑스를 마구 휘둘러 적을 연속 타격합니다.
IDS_PROPSKILL_TXT_000062	호크 어택
IDS_PROPSKILL_TXT_000063	공중으로 점프하여 적의 머리를 엑스로 타격합니다. 이때 적을 일정 확률로 암흑 상태로 만듭니다.
IDS_PROPSKILL_TXT_000064	소닉 블레이드
IDS_PROPSKILL_TXT_000065	무기에 기를 모아 방출하여 전방의 적들을 공격합니다.
IDS_PROPSKILL_TXT_000066	버서크
IDS_PROPSKILL_TXT_000067	분노를 폭발시켜 순간적으로 공격력, 공격속도를 증가시킵니다. 이때 다른 스킬은 사용 할 수 없습니다.
IDS_PROPSKILL_TXT_000068	힐링
IDS_PROPSKILL_TXT_000069	대상의 HP를 일정량 회복시킵니다.
IDS_PROPSKILL_TXT_000070	탬핑홀
IDS_PROPSKILL_TXT_000071	너클해머로 적을 강하게 타격합니다.
IDS_PROPSKILL_TXT_000072	레저렉션
IDS_PROPSKILL_TXT_000073	사망한 캐릭터를 신성한 힘으로 부활시킵니다.
IDS_PROPSKILL_TXT_000074	페이션스
IDS_PROPSKILL_TXT_000075	일정시간 동안 대상의 최대 HP의 양을 늘립니다.
IDS_PROPSKILL_TXT_000076	프리벤션
IDS_PROPSKILL_TXT_000077	HP가 일정량 이하가 되면 자동으로 회복할 수 있도록 축복을 걸어줍니다.
IDS_PROPSKILL_TXT_000078	힙업
IDS_PROPSKILL_TXT_000079	대상의 체력을 상승시킵니다.
IDS_PROPSKILL_TXT_000080	캐논볼
IDS_PROPSKILL_TXT_000081	대상의 민첩을 상승시킵니다.
IDS_PROPSKILL_TXT_000082	써클힐링
IDS_PROPSKILL_TXT_000083	가까이 있는 극단원들의 HP를 일정량 회복시킵니다.
IDS_PROPSKILL_TXT_000084	멘탈사인
IDS_PROPSKILL_TXT_000085	대상의 지능을 상승시킵니다.
IDS_PROPSKILL_TXT_000086	비프업
IDS_PROPSKILL_TXT_000087	대상의 힘을 상승시킵니다.
IDS_PROPSKILL_TXT_000088	버스트크랙
IDS_PROPSKILL_TXT_000089	너클해머로 바닥을 타격하여 가까이 있는 적들을 타격합니다.
IDS_PROPSKILL_TXT_000090	스톤핸드
IDS_PROPSKILL_TXT_000091	무기를 단단히하여 모든 공격에 확률적으로 스턴 효과를 줍니다.
IDS_PROPSKILL_TXT_000092	퀵 스텝
IDS_PROPSKILL_TXT_000093	대상의 이동속도를 상승시킵니다.
IDS_PROPSKILL_TXT_000094	캣즈 리플렉스
IDS_PROPSKILL_TXT_000095	대상의 블럭율을 상승시킵니다.
IDS_PROPSKILL_TXT_000096	어큐러시
IDS_PROPSKILL_TXT_000097	대상의 명중률을 상승시킵니다.
IDS_PROPSKILL_TXT_000098	파워 피스트
IDS_PROPSKILL_TXT_000099	너클해머에 온 몸의 힘을 실어 적을 타격합니다.
IDS_PROPSKILL_TXT_000100	헤이스트
IDS_PROPSKILL_TXT_000101	대상의 공격속도를 상승시킵니다.
IDS_PROPSKILL_TXT_000102	힐 레인
IDS_PROPSKILL_TXT_000103	가까이 있는 극단원들의 HP를 대량 회복시킵니다.
IDS_PROPSKILL_TXT_000104	홀리크로스
IDS_PROPSKILL_TXT_000105	적에게 신성한 속박을 걸어 다음 공격으로 2배의 데미지를 입도록 만듭니다.
IDS_PROPSKILL_TXT_000106	프로텍트
IDS_PROPSKILL_TXT_000107	대상에게 신성한 결계를 쳐서 물리 방어력을 상승시킵니다.
IDS_PROPSKILL_TXT_000108	홀리가드
IDS_PROPSKILL_TXT_000109	대상에게 신성한 결계를 쳐서 마법 방어력을 상승시킵니다.
IDS_PROPSKILL_TXT_000110	스피리처 포춘
IDS_PROPSKILL_TXT_000111	대상에게 신성한 힘을 불어넣어 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000112	그부르 티알라
IDS_PROPSKILL_TXT_000113	대상에게 걸린 상태이상을 회복시킵니다.
IDS_PROPSKILL_TXT_000114	게브라 티파레트
IDS_PROPSKILL_TXT_000115	가까이 있는 극단원들의 전투능력을 향상시킵니다. 추가 데미지와 공격 속도에 영향을 줍니다.
IDS_PROPSKILL_TXT_000116	메르카바 안젤루샤
IDS_PROPSKILL_TXT_000117	자신의 주변에 성스러운 영역을 형성하여 범위안에 들어오는 적에게 데미지를 줍니다.
IDS_PROPSKILL_TXT_000118	베리알 스메싱
IDS_PROPSKILL_TXT_000119	너클해머로 적을 향해 돌진하며 타격합니다.
IDS_PROPSKILL_TXT_000120	피어싱 서펜트
IDS_PROPSKILL_TXT_000121	너클해머에 순간적으로 기를 모았다가 전방의 적들을 향해 발사하여 가격합니다.
IDS_PROPSKILL_TXT_000122	블러드 피스트
IDS_PROPSKILL_TXT_000123	너클해머로 적의 약점을 집중 타격합니다. 이때 적은 일정 확률로 출혈 상태가 됩니다.
IDS_PROPSKILL_TXT_000124	소닉핸드
IDS_PROPSKILL_TXT_000125	빠른 속도로 너클해머를 뻗어 적을 타격합니다.
IDS_PROPSKILL_TXT_000126	아스모데우스
IDS_PROPSKILL_TXT_000127	너클해머의 능력을 강화시켜 공격력을 상승시킵니다.
IDS_PROPSKILL_TXT_000128	바라키엘 에스나
IDS_PROPSKILL_TXT_000129	저주의 힘으로 적을 무모하게 만들어 방어력을 하락시키고, 공격력은 상승시킵니다.
IDS_PROPSKILL_TXT_000130	그브르 티알볼드
IDS_PROPSKILL_TXT_000131	자신의 주변에 충격파를 날려 적들을 타격합니다.
IDS_PROPSKILL_TXT_000132	앗살라알라이쿰
IDS_PROPSKILL_TXT_000133	모든 정신을 너클해머의 한 점에 집중하여 적을 타격합니다. 이때 MP는 모두 소모됩니다.
IDS_PROPSKILL_TXT_000134	파이어 부메랑
IDS_PROPSKILL_TXT_000135	불로 된 부메랑을 날려 적을 공격합니다.
IDS_PROPSKILL_TXT_000136	핫에어
