IDS_PROPMOVER_TXT_000000	По умолчанию
IDS_PROPMOVER_TXT_000001	
IDS_PROPMOVER_TXT_000002	Муж
IDS_PROPMOVER_TXT_000003	
IDS_PROPMOVER_TXT_000004	Жен
IDS_PROPMOVER_TXT_000005	
IDS_PROPMOVER_TXT_000006	Слабый сглаз
IDS_PROPMOVER_TXT_000007	
IDS_PROPMOVER_TXT_000008	Сглаз
IDS_PROPMOVER_TXT_000009	
IDS_PROPMOVER_TXT_000010	Сильный сглаз
IDS_PROPMOVER_TXT_000011	
IDS_PROPMOVER_TXT_000012	Громадный сглаз
IDS_PROPMOVER_TXT_000013	
IDS_PROPMOVER_TXT_000014	Слабая сыробежка
IDS_PROPMOVER_TXT_000015	
IDS_PROPMOVER_TXT_000016	Сыробежка
IDS_PROPMOVER_TXT_000017	
IDS_PROPMOVER_TXT_000018	Сильная сыробежка
IDS_PROPMOVER_TXT_000019	
IDS_PROPMOVER_TXT_000020	Громадная сыробежка
IDS_PROPMOVER_TXT_000021	
IDS_PROPMOVER_TXT_000022	Слабый жукорог
IDS_PROPMOVER_TXT_000023	
IDS_PROPMOVER_TXT_000024	Жукорог
IDS_PROPMOVER_TXT_000025	
IDS_PROPMOVER_TXT_000026	Сильный жукорог
IDS_PROPMOVER_TXT_000027	
IDS_PROPMOVER_TXT_000028	Громадный жукорог
IDS_PROPMOVER_TXT_000029	
IDS_PROPMOVER_TXT_000030	Слабый Вуки-туки
IDS_PROPMOVER_TXT_000031	
IDS_PROPMOVER_TXT_000032	Вуки-туки
IDS_PROPMOVER_TXT_000033	
IDS_PROPMOVER_TXT_000034	Сильный Вуки-туки
IDS_PROPMOVER_TXT_000035	
IDS_PROPMOVER_TXT_000036	Громадный Вуки-туки
IDS_PROPMOVER_TXT_000037	
IDS_PROPMOVER_TXT_000038	Слабый бронтодон
IDS_PROPMOVER_TXT_000039	
IDS_PROPMOVER_TXT_000040	Бронтодон
IDS_PROPMOVER_TXT_000041	
IDS_PROPMOVER_TXT_000042	Сильный бронтодон
IDS_PROPMOVER_TXT_000043	
IDS_PROPMOVER_TXT_000044	Громадный бронтодон
IDS_PROPMOVER_TXT_000045	
IDS_PROPMOVER_TXT_000046	Юный злыдень
IDS_PROPMOVER_TXT_000047	
IDS_PROPMOVER_TXT_000048	Злыдень
IDS_PROPMOVER_TXT_000049	
IDS_PROPMOVER_TXT_000050	Гадкий злыдень
IDS_PROPMOVER_TXT_000051	
IDS_PROPMOVER_TXT_000052	Громадный злыдень
IDS_PROPMOVER_TXT_000053	
IDS_PROPMOVER_TXT_000054	Слабый конек
IDS_PROPMOVER_TXT_000055	
IDS_PROPMOVER_TXT_000056	Конек
IDS_PROPMOVER_TXT_000057	
IDS_PROPMOVER_TXT_000058	Сильный конек
IDS_PROPMOVER_TXT_000059	
IDS_PROPMOVER_TXT_000060	Громадный конек
IDS_PROPMOVER_TXT_000061	
IDS_PROPMOVER_TXT_000062	Слабый волкопард
IDS_PROPMOVER_TXT_000063	
IDS_PROPMOVER_TXT_000064	Волкопард
IDS_PROPMOVER_TXT_000065	
IDS_PROPMOVER_TXT_000066	Сильный волкопард
IDS_PROPMOVER_TXT_000067	
IDS_PROPMOVER_TXT_000068	Громадный волкопард
IDS_PROPMOVER_TXT_000069	
IDS_PROPMOVER_TXT_000070	Слабый крыжорник
IDS_PROPMOVER_TXT_000071	
IDS_PROPMOVER_TXT_000072	Крыжорник
IDS_PROPMOVER_TXT_000073	
IDS_PROPMOVER_TXT_000074	Сильный крыжорник
IDS_PROPMOVER_TXT_000075	
IDS_PROPMOVER_TXT_000076	Громадный крыжорник
IDS_PROPMOVER_TXT_000077	
IDS_PROPMOVER_TXT_000078	Юная Кисандра
IDS_PROPMOVER_TXT_000079	
IDS_PROPMOVER_TXT_000080	Кисандра
IDS_PROPMOVER_TXT_000081	
IDS_PROPMOVER_TXT_000082	Ужасная Кисандра
IDS_PROPMOVER_TXT_000083	
IDS_PROPMOVER_TXT_000084	Гигантская Кисандра
IDS_PROPMOVER_TXT_000085	
IDS_PROPMOVER_TXT_000086	Гром
IDS_PROPMOVER_TXT_000087	
IDS_PROPMOVER_TXT_000088	Сильный Гром
IDS_PROPMOVER_TXT_000089	
IDS_PROPMOVER_TXT_000090	Капитан Гром
IDS_PROPMOVER_TXT_000091	
IDS_PROPMOVER_TXT_000092	Гигантский Гром
IDS_PROPMOVER_TXT_000093	
IDS_PROPMOVER_TXT_000094	Слабый злопух
IDS_PROPMOVER_TXT_000095	
IDS_PROPMOVER_TXT_000096	Злопух
IDS_PROPMOVER_TXT_000097	
IDS_PROPMOVER_TXT_000098	Сильный злопух
IDS_PROPMOVER_TXT_000099	
IDS_PROPMOVER_TXT_000100	Громадный злопух
IDS_PROPMOVER_TXT_000101	
IDS_PROPMOVER_TXT_000102	Юная Миа
IDS_PROPMOVER_TXT_000103	
IDS_PROPMOVER_TXT_000104	Миа
IDS_PROPMOVER_TXT_000105	
IDS_PROPMOVER_TXT_000106	Ужасная Миа
IDS_PROPMOVER_TXT_000107	
IDS_PROPMOVER_TXT_000108	Гигантская Миа
IDS_PROPMOVER_TXT_000109	
IDS_PROPMOVER_TXT_000110	Гнилой мистер Тыквер
IDS_PROPMOVER_TXT_000111	
IDS_PROPMOVER_TXT_000112	Мистер Тыквер
IDS_PROPMOVER_TXT_000113	
IDS_PROPMOVER_TXT_000114	Зрелый мистер Тыквер
IDS_PROPMOVER_TXT_000115	
IDS_PROPMOVER_TXT_000116	Гигантский мистер Тыквер
IDS_PROPMOVER_TXT_000117	
IDS_PROPMOVER_TXT_000118	Слабый красный богомол
IDS_PROPMOVER_TXT_000119	
IDS_PROPMOVER_TXT_000120	Красный богомол
IDS_PROPMOVER_TXT_000121	
IDS_PROPMOVER_TXT_000122	Сильный красный богомол
IDS_PROPMOVER_TXT_000123	
IDS_PROPMOVER_TXT_000124	Громадный красный богомол
