IDS_PROPSKILL_TXT_000000	Прямой выпад
IDS_PROPSKILL_TXT_000001	Резкий и мощный удар.
IDS_PROPSKILL_TXT_000002	Шквал
IDS_PROPSKILL_TXT_000003	Серия чувствительных уколов.
IDS_PROPSKILL_TXT_000004	Добивание
IDS_PROPSKILL_TXT_000005	Мощный удар, завершающий серию.
IDS_PROPSKILL_TXT_000006	Порез
IDS_PROPSKILL_TXT_000007	Два быстрых удара по противнику.
IDS_PROPSKILL_TXT_000008	Вертушка
IDS_PROPSKILL_TXT_000009	Продолжительная круговая атака.
IDS_PROPSKILL_TXT_000010	Коса смерти
IDS_PROPSKILL_TXT_000011	Круговой удар, завершающий серию.
IDS_PROPSKILL_TXT_000012	Защита
IDS_PROPSKILL_TXT_000013	Усиливает защиту от атак ближнего боя.
IDS_PROPSKILL_TXT_000014	Защита от стрел
IDS_PROPSKILL_TXT_000015	Усиливает защиту от стрелковых атак.
IDS_PROPSKILL_TXT_000016	Пылающий меч
IDS_PROPSKILL_TXT_000017	Повышает точность и силу ударов мечом.
IDS_PROPSKILL_TXT_000018	Карающая секира
IDS_PROPSKILL_TXT_000019	Повышает защиту и силу ударов при использовании топоров и секир.
IDS_PROPSKILL_TXT_000020	Оружие стихий
IDS_PROPSKILL_TXT_000021	Усиливает аркан, нанесенный на оружие.
IDS_PROPSKILL_TXT_000022	Кровавая кража
IDS_PROPSKILL_TXT_000023	Вытягивает из противника жизнь.
IDS_PROPSKILL_TXT_000024	Мастер меча
IDS_PROPSKILL_TXT_000025	Повышает силу ударов мечом.
IDS_PROPSKILL_TXT_000026	Мастер секиры
IDS_PROPSKILL_TXT_000027	Повышает силу ударов топором и секирой.
IDS_PROPSKILL_TXT_000028	Резкий удар
IDS_PROPSKILL_TXT_000029	Мощный удар.
IDS_PROPSKILL_TXT_000030	Гильотина
IDS_PROPSKILL_TXT_000031	Мощная атака дальнего боя.
IDS_PROPSKILL_TXT_000032	Сеть
IDS_PROPSKILL_TXT_000033	Накидывает сеть на противника, что заставляет его двигается медленнее.
IDS_PROPSKILL_TXT_000034	Отражение
IDS_PROPSKILL_TXT_000035	При следующем ударе противника урон получит он, а не вы.
IDS_PROPSKILL_TXT_000036	Защитник
IDS_PROPSKILL_TXT_000037	Повышает защиту, но снижает силу атаки. Для использования требуется двуручный меч или секира.
IDS_PROPSKILL_TXT_000038	Отражение боли
IDS_PROPSKILL_TXT_000039	Частично отражает атаку, нанося урон противнику.
IDS_PROPSKILL_TXT_000040	Ярость
IDS_PROPSKILL_TXT_000041	Повышает силу атак и запас здоровья. Снижает точность атак и защиту.
IDS_PROPSKILL_TXT_000042	Отбрасывание
IDS_PROPSKILL_TXT_000043	Мощный удар, отбрасывающий врага. Для использования требуется двуручное оружие.
IDS_PROPSKILL_TXT_000044	Землетрясение
IDS_PROPSKILL_TXT_000045	Сильный удар, раскалывающий землю.
IDS_PROPSKILL_TXT_000046	Натиск
IDS_PROPSKILL_TXT_000047	Мощный и резкий удар.
IDS_PROPSKILL_TXT_000048	Несущий боль
IDS_PROPSKILL_TXT_000049	Сильный удар, снижающий защиту цели. Для использования требуется двуручный топор или секира.
IDS_PROPSKILL_TXT_000050	Ошеломляющий удар
IDS_PROPSKILL_TXT_000051	Удар в землю, оглушающий стоящих поблизости врагов. Для использования требуется двуручный топор или секира.
IDS_PROPSKILL_TXT_000052	Крест-накрест
IDS_PROPSKILL_TXT_000053	Удар двумя клинками одновременно.
IDS_PROPSKILL_TXT_000054	Пробивание брони
IDS_PROPSKILL_TXT_000055	Наносит врагу урон и снижает его защиту.
IDS_PROPSKILL_TXT_000056	Неслышный удар
IDS_PROPSKILL_TXT_000057	Быстрый скользящий удар. Для использования требуются два клинка.
IDS_PROPSKILL_TXT_000058	Танец с лезвиями
IDS_PROPSKILL_TXT_000059	Наносит урон сразу нескольким врагам.  Для использования требуются два меча.
IDS_PROPSKILL_TXT_000060	Пружина
IDS_PROPSKILL_TXT_000061	Несколько быстрых ударов по врагу.  Для использования требуются два топора.
IDS_PROPSKILL_TXT_000062	Удар ястреба
IDS_PROPSKILL_TXT_000063	Мощный удар, с некоторой вероятностью ослепляющий цель.  Для использования требуются два топора.
IDS_PROPSKILL_TXT_000064	Парящий клинок
IDS_PROPSKILL_TXT_000065	Сильный режущий удар.  Для использования требуются два клинка.
IDS_PROPSKILL_TXT_000066	Берсерк
IDS_PROPSKILL_TXT_000067	Повышает скорость и силу атак. Все прочие умения на время берсерка блокируются.
IDS_PROPSKILL_TXT_000068	Лечение
IDS_PROPSKILL_TXT_000069	Восстанавливает здоровье цели.
IDS_PROPSKILL_TXT_000070	Прямой удар
IDS_PROPSKILL_TXT_000071	Резкий прямой удар.
IDS_PROPSKILL_TXT_000072	Воскрешение
IDS_PROPSKILL_TXT_000073	Воскрешает павшего соратника.
IDS_PROPSKILL_TXT_000074	Терпение
IDS_PROPSKILL_TXT_000075	Временно повышает запас здоровья цели.
IDS_PROPSKILL_TXT_000076	Предосторожность
IDS_PROPSKILL_TXT_000077	Если здоровье цели падает ниже определенной отметки, оно волшебным образом восстанавливается.
IDS_PROPSKILL_TXT_000078	Тяжеловес
IDS_PROPSKILL_TXT_000079	Повышает выносливость цели.
IDS_PROPSKILL_TXT_000080	Пушечное ядро
IDS_PROPSKILL_TXT_000081	Повышает ловкость цели.
IDS_PROPSKILL_TXT_000082	Исцеляющий круг
IDS_PROPSKILL_TXT_000083	Исцеляет находящихся поблизости игроков вашей труппы.
IDS_PROPSKILL_TXT_000084	Умник
IDS_PROPSKILL_TXT_000085	Повышает интеллект цели.
IDS_PROPSKILL_TXT_000086	Громила
IDS_PROPSKILL_TXT_000087	Повышает силу удара цели.
IDS_PROPSKILL_TXT_000088	Пролом
IDS_PROPSKILL_TXT_000089	Удар, пробивающий землю и наносящий урон всем врагам поблизости.
IDS_PROPSKILL_TXT_000090	Каменный кулак
IDS_PROPSKILL_TXT_000091	Придает вероятность оглушить противника любым ударом.
IDS_PROPSKILL_TXT_000092	Скороход
IDS_PROPSKILL_TXT_000093	Повышает скорость движения цели.
IDS_PROPSKILL_TXT_000094	Кошачьи рефлексы
IDS_PROPSKILL_TXT_000095	Повышает вероятность блокирования.
IDS_PROPSKILL_TXT_000096	Меткость
IDS_PROPSKILL_TXT_000097	Повышает меткость цели.
IDS_PROPSKILL_TXT_000098	Хеллбой
IDS_PROPSKILL_TXT_000099	Мощный и резкий удар перчаткой.
IDS_PROPSKILL_TXT_000100	Спешка
IDS_PROPSKILL_TXT_000101	Повышает скорость атак и заклинаний цели.
IDS_PROPSKILL_TXT_000102	Исцеляющий ливень
IDS_PROPSKILL_TXT_000103	Восстанавливает здоровье находящихся рядом игроков труппы.
IDS_PROPSKILL_TXT_000104	Осеняющий крест
IDS_PROPSKILL_TXT_000105	Наносимый противнику урон удваивается.
IDS_PROPSKILL_TXT_000106	Посвящение
IDS_PROPSKILL_TXT_000107	Повышает характеристики выбранной цели.
IDS_PROPSKILL_TXT_000108	Светлый хранитель
IDS_PROPSKILL_TXT_000109	Повышает запас здоровья цели.
IDS_PROPSKILL_TXT_000110	Воодушевление
IDS_PROPSKILL_TXT_000111	Повышает силу атак цели.
IDS_PROPSKILL_TXT_000112	Очищение
IDS_PROPSKILL_TXT_000113	Снимает с цели отрицательные эффекты.
IDS_PROPSKILL_TXT_000114	Песнь ободрения
IDS_PROPSKILL_TXT_000115	Эта песнь призывает соратников бить яростнее, бить быстрее. Временно повышает силу и скорость атак.
IDS_PROPSKILL_TXT_000116	Радужный крест
IDS_PROPSKILL_TXT_000117	Наносит урон по области.
IDS_PROPSKILL_TXT_000118	Дьявольский натиск
IDS_PROPSKILL_TXT_000119	Резкий сокрушительный удар.
IDS_PROPSKILL_TXT_000120	Бросок змеи
IDS_PROPSKILL_TXT_000121	Резкий рывок вперед и мощный удар.
IDS_PROPSKILL_TXT_000122	Первая кровь
IDS_PROPSKILL_TXT_000123	Наносит противнику урон. Враг постепенно теряет здоровье.
IDS_PROPSKILL_TXT_000124	Удар ниндзя
IDS_PROPSKILL_TXT_000125	Быстрый и резкий удар.
IDS_PROPSKILL_TXT_000126	Демон бездны
IDS_PROPSKILL_TXT_000127	Повышает силу атаки с перчаткой.
IDS_PROPSKILL_TXT_000128	Демон битвы
IDS_PROPSKILL_TXT_000129	Снижает защиту выбранного врага, но повышает силу его атак.
IDS_PROPSKILL_TXT_000130	Пожиратель
