ids_textclient_connecting	Соединение…
ids_textclient_cantconnect	Не удалось подключиться к игре. Проверьте соединение. Вы также можете обратиться к администрации для решения проблемы.
ids_textclient_oldclient	Old version of client.
ids_textclient_wrongserver	Wrong server identifier.
ids_textclient_unknownerror	Unknown error, please try again.
ids_textclient_alreadyconnected	Your character is already connected.
ids_textclient_serverfull	This server is currently full, please wait a moment or select another server.
ids_textclient_bigmonster	Появился босс!
ids_textclient_app_map	Карта мира
ids_textclient_app_option	Настройки
ids_textclient_app_logout	Выход из мира
ids_textclient_app_quit	Выход из игры
ids_textclient_app_navigator	Навигатор
ids_textclient_app_debug	Устранение ошибок
ids_textclient_loggingout	Вы выйдете из игры через %d сек.
ids_textclient_logout	Do you want to disconnect? You will lose your character if you did not linked it to an account.
ids_textclient_exit	Выйти из игры?
ids_textclient_disconnected	Потеряна связь с сервером.
ids_textclient_creationdisabled	Character creation is disabled on this server.
ids_textclient_optionreboot	You must restart the game for all changes to take effect.
ids_textclient_maphidden	Чары Тени не позволяют разглядеть местность.
ids_textclient_item_desc	Description:
ids_textclient_invalidcharacters	This name contains unauthorized characters.
ids_textclient_invalidname	This name contains unauthorized words.
ids_textclient_ipbanned	Your public internet address has been banned. Contact the administrator for more informations.
ids_textclient_ipblocked	An important activity has been detected on your public internet address. Please wait %s before trying again.
ids_textclient_secs	second(s)
ids_textclient_mins	minute(s)
ids_textclient_hours	hour(s)
ids_textclient_sessionexpired	Your session has expired, please enter your login and password again.
ids_textclient_admin	Admin
ids_textclient_gamemaster	Game Master
ids_textclient_app_chat	Чат
ids_textclient_invalidlogin	Your login or password is invalid.
ids_textclient_accountconnected	Your account is already connected.
ids_textclient_nowposition	Местоположение: x = %f, y = %f, z = %f
ids_textclient_nottransself	You cannot send a PM to yourself.
ids_textclient_playernotexist	%s does not exist or is not online.
ids_textclient_app_notice	Уведомление
ids_textclient_app_status	Власть
ids_textclient_playerinformation	%s %d ур.
ids_textclient_blink_limit	Нельзя использовать во время движения.
ids_textclient_notsit_blink	Чтобы использовать Блик, нужно встать.
ids_textclient_stand_limit	Можно использовать только стоя на месте.
ids_textclient_flight_nouse	Нельзя использовать во время полета.
ids_textclient_error_nofly	Здесь запрещены полеты.
ids_textclient_error_notalk	You are not allowed to talk.
ids_textclient_error_chatspam	You received 3 minutes penalty because of too much of chatting.
ids_textclient_app_motion	Эмоции
ids_textclient_app_charinfo	Персонаж
ids_textclient_limithp	Невозможно восстановить здоровье.
ids_textclient_limitmp	Cannot recover MP right now.
ids_textclient_limitfp	Скорость восстановления энергии снижена.
ids_textclient_attentioncooltime	Подождите, прежде чем вновь использовать этот предмет.
ids_textclient_death	Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.
ids_textclient_mobpriority	Нельзя нападать на монстра, с которым уже сражается другой игрок.
ids_textclient_noquitcombat	Во время боя выйти из игры нельзя.
ids_textclient_levelup	Вы достигли нового уровня! Откройте окно характеристик, чтобы распределить очки.
ids_textclient_levelup_caption	Вы достигли нового уровня!
ids_textclient_charstatus_apply_q	Принять изменения?
ids_textclient_charstatus_firstjob	Очки сбросятся после выбора класса.
ids_textclient_admin_state	Власть
ids_textclient_admin_normal	Норм.
ids_textclient_speed_veryslow	оч. низкая
ids_textclient_speed_low	низкая
ids_textclient_speed_normal	Норм.
ids_textclient_speed_fast	высокая
ids_textclient_speed_veryfast	оч. высокая
ids_textclient_speed_fastest	сверхвысокая
ids_textclient_itempriority	Пока %s - добыча другого игрока. Через некоторое время предмет станет ничейным, и его можно будет подобрать.
ids_textclient_lackspace	Рюкзак переполнен. Освободите место и попробуйте еще раз.
ids_textclient_reapitem	Ваша добыча: %s.
ids_textclient_app_inventory	Инвентарь
ids_textclient_reapmoney	Вы получили %s пенни. Теперь у вас %s пенни!
ids_textclient_error_sex	%s: не подходит для вашего пола.
ids_textclient_error_job	%s: невозможно использовать. Вы не соответствуете требованиям.
ids_textclient_error_level	Требуется достичь %s уровня, чтобы использовать этот предмет.
ids_textclient_error_undestructable	Невозможно выбросить.
ids_textclient_error_usingitem	Вы уже используете этот предмет.
ids_textclient_successremoveitem	Уничтожено: %s, %s шт.
ids_textclient_notarget	Не выбрана цель атаки.
ids_textclient_notuse	Невозможно использовать сейчас.
ids_textclient_error_notlevel	Слишком низкий уровень.
ids_textclient_block_pm	%s не принимает сообщения.
ids_textclient_error_link_pm	You must link your character to an account to send private messages.
ids_textclient_yettrade	Игрок занят. Подождите немного и повторите попытку.
ids_textclient_itemnotuse_trading	Вы слишком заняты покупками, чтобы использовать предмет.
ids_textclient_redchip	Красная фишка
ids_textclient_error_equiptrade	Снимите предмет, если хотите его продать.
ids_textclient_error_npcbufflevel	Эти эффекты применимы только к персонажам %s~%s уровня.
ids_textclient_error_npcbufffail	%s - невозможно использовать в данный момент.
ids_textclient_unregistered	Unregistered
ids_textclient_level15job	Пришло время определиться с классом!
ids_textclient_changejob	Добро пожаловать, новоиспеченный %s!
